Word,Result,,,,,,
Alabai (Central Asian Shepherd),NOT IN VOCAB,,,,,,
Alaskan Husky,NOT IN VOCAB,,,,,,
Alaskan Klee Kai,NOT IN VOCAB,,,,,,
Alaskan Malamute,NOT IN VOCAB,,,,,,
Alaskan Pollock,NOT IN VOCAB,,,,,,
Alaskan Shepherd,NOT IN VOCAB,,,,,,
Albacore Tuna,NOT IN VOCAB,,,,,,
Albatross,NOT IN VOCAB,,,,,,
Albertonectes,NOT IN VOCAB,,,,,,
Albino (Amelanistic) Corn Snake,NOT IN VOCAB,,,,,,
Aldabra Giant Tortoise,NOT IN VOCAB,,,,,,
Alligator Gar,NOT IN VOCAB,,,,,,
Allosaurus,NOT IN VOCAB,,,,,,
Allosaurus,NOT IN VOCAB,,,,,,
Alpaca,NOT IN VOCAB,,,,,,
Alpine Dachsbracke,NOT IN VOCAB,,,,,,
Alpine Goat,NOT IN VOCAB,,,,,,
Alusky,NOT IN VOCAB,,,,,,
Amano Shrimp,NOT IN VOCAB,,,,,,
Amargasaurus,NOT IN VOCAB,,,,,,
Amazon Parrot,NOT IN VOCAB,,,,,,
Amazon River Dolphin (Pink Dolphin),NOT IN VOCAB,,,,,,
Amazon Tree Boa,NOT IN VOCAB,,,,,,
Amazonian Royal Flycatcher,NOT IN VOCAB,,,,,,
Amberjack,NOT IN VOCAB,,,,,,
Ambrosia Beetle,NOT IN VOCAB,,,,,,
American Alligator,NOT IN VOCAB,,,,,,
American Alsatian,NOT IN VOCAB,,,,,,
American Bulldog,NOT IN VOCAB,,,,,,
American Bully,NOT IN VOCAB,,,,,,
American Cocker Spaniel,NOT IN VOCAB,,,,,,
American Cockroach,NOT IN VOCAB,,,,,,
American Coonhound,NOT IN VOCAB,,,,,,
American Dog Tick,NOT IN VOCAB,,,,,,
American Eel,NOT IN VOCAB,,,,,,
American Eskimo Dog,NOT IN VOCAB,,,,,,
American Foxhound,NOT IN VOCAB,,,,,,
American Hairless Terrier,NOT IN VOCAB,,,,,,
American Leopard Hound,NOT IN VOCAB,,,,,,
American Paddlefish,NOT IN VOCAB,,,,,,
American Pit Bull Terrier,NOT IN VOCAB,,,,,,
American Pugabull,NOT IN VOCAB,,,,,,
American Pygmy Goat,NOT IN VOCAB,,,,,,
American Robin,NOT IN VOCAB,,,,,,
American Staffordshire Terrier,NOT IN VOCAB,,,,,,
American Toad,NOT IN VOCAB,,,,,,
American Water Spaniel,NOT IN VOCAB,,,,,,
American Wirehair,NOT IN VOCAB,,,,,,
Amethystine Python (Scrub Python),NOT IN VOCAB,,,,,,
Amphicoelias Fragillimus,NOT IN VOCAB,,,,,,
Amur Leopard,NOT IN VOCAB,,,,,,
Anaconda,NOT IN VOCAB,,,,,,
Anatolian Shepherd Dog,NOT IN VOCAB,,,,,,
Anchovies,NOT IN VOCAB,,,,,,
Andrewsarchus,NOT IN VOCAB,,,,,,
Angelfish,NOT IN VOCAB,,,,,,
Angelshark,NOT IN VOCAB,,,,,,
Angled Sunbeam Caterpillar,NOT IN VOCAB,,,,,,
Anglerfish,NOT IN VOCAB,,,,,,
Angora Ferret,NOT IN VOCAB,,,,,,
Angora Goat,NOT IN VOCAB,,,,,,
Anhinga,NOT IN VOCAB,,,,,,
Annas Hummingbird,NOT IN VOCAB,,,,,,
Anole Lizard,NOT IN VOCAB,,,,,,
Anomalocaris,NOT IN VOCAB,,,,,,
Ant,NOT IN VOCAB,,,,,,
Antarctic Scale Worm,NOT IN VOCAB,,,,,,
Anteater,NOT IN VOCAB,,,,,,
Antelope,NOT IN VOCAB,,,,,,
Anteosaurus,NOT IN VOCAB,,,,,,
Antiguan Racer Snake,NOT IN VOCAB,,,,,,
Ape,NOT IN VOCAB,,,,,,
Apennine Wolf,NOT IN VOCAB,,,,,,
Appenzeller Dog,NOT IN VOCAB,,,,,,
Apple Head Chihuahua,NOT IN VOCAB,,,,,,
Apple Moth,NOT IN VOCAB,,,,,,
Arabian Cobra,NOT IN VOCAB,,,,,,
Arabian Wolf,NOT IN VOCAB,,,,,,
Arafura File Snake,NOT IN VOCAB,,,,,,
Arambourgiania,NOT IN VOCAB,,,,,,
Arapaima,NOT IN VOCAB,,,,,,
Archaeoindris,NOT IN VOCAB,,,,,,
Archaeopteryx,NOT IN VOCAB,,,,,,
Archaeotherium,NOT IN VOCAB,,,,,,
Archelon Turtle,NOT IN VOCAB,,,,,,
Archerfish,NOT IN VOCAB,,,,,,
Arctic Char,NOT IN VOCAB,,,,,,
Arctic Fox,NOT IN VOCAB,,,,,,
Arctic Hare,NOT IN VOCAB,,,,,,
Arctic Wolf,NOT IN VOCAB,,,,,,
Arctodus,NOT IN VOCAB,,,,,,
Arctotherium,NOT IN VOCAB,,,,,,
Argentavis Magnificens,NOT IN VOCAB,,,,,,
Argentine Black and White Tegu,NOT IN VOCAB,,,,,,
Argentine Horned Frog,NOT IN VOCAB,,,,,,
Argentinosaurus,NOT IN VOCAB,,,,,,
Arizona Bark Scorpion,NOT IN VOCAB,,,,,,
Arizona Black Rattlesnake,NOT IN VOCAB,,,,,,
Arizona Blonde Tarantula,NOT IN VOCAB,,,,,,
Arizona Coral Snake,NOT IN VOCAB,,,,,,
Armadillo,NOT IN VOCAB,,,,,,
Armadillo Lizard,NOT IN VOCAB,,,,,,
Armenian Gampr,NOT IN VOCAB,,,,,,
Armored Catfish,NOT IN VOCAB,,,,,,
Armyworm,NOT IN VOCAB,,,,,,
Arsinoitherium,NOT IN VOCAB,,,,,,
Arthropleura,NOT IN VOCAB,,,,,,
Aruba Rattlesnake,NOT IN VOCAB,,,,,,
Ashy Mining Bee,NOT IN VOCAB,,,,,,
Asian Arowana,NOT IN VOCAB,,,,,,
Asian Carp,NOT IN VOCAB,,,,,,
Asian Cockroach,NOT IN VOCAB,,,,,,
Asian Elephant,NOT IN VOCAB,,,,,,
Asian Giant Hornet,NOT IN VOCAB,,,,,,
Asian Lady Beetle,NOT IN VOCAB,,,,,,
Asian Longhorn Beetle,NOT IN VOCAB,,,,,,
Asian Palm Civet,NOT IN VOCAB,,,,,,
Asian Vine Snake,NOT IN VOCAB,,,,,,
Asian Water Monitor,NOT IN VOCAB,,,,,,
Asiatic Black Bear,NOT IN VOCAB,,,,,,
Asp,NOT IN VOCAB,,,,,,
Asp Caterpillar,NOT IN VOCAB,,,,,,
Assassin Bug,NOT IN VOCAB,,,,,,
Assassin Snail,NOT IN VOCAB,,,,,,
Atlantic Cod,NOT IN VOCAB,,,,,,
Atlantic Salmon,NOT IN VOCAB,,,,,,
Atlantic Sturgeon,NOT IN VOCAB,,,,,,
Atlas Beetle,NOT IN VOCAB,,,,,,
Atlas Moth,NOT IN VOCAB,,,,,,
Aurochs,NOT IN VOCAB,,,,,,
Aussiedoodle,NOT IN VOCAB,,,,,,
Aussiedor,NOT IN VOCAB,,,,,,
Aussiepom,NOT IN VOCAB,,,,,,
Australian Bulldog,NOT IN VOCAB,,,,,,
Australian Cattle Dog,NOT IN VOCAB,,,,,,
Australian Cockroach,NOT IN VOCAB,,,,,,
Australian Firehawk,NOT IN VOCAB,,,,,,
Australian Flathead Perch,NOT IN VOCAB,,,,,,
Australian Gecko,NOT IN VOCAB,,,,,,
Australian Kelpie Dog,NOT IN VOCAB,,,,,,
Australian Labradoodle,NOT IN VOCAB,,,,,,
Australian Mist,NOT IN VOCAB,,,,,,
Australian Retriever,NOT IN VOCAB,,,,,,
Australian Shepherd,NOT IN VOCAB,,,,,,
Australian Shepherd Mix,NOT IN VOCAB,,,,,,
Australian Terrier,NOT IN VOCAB,,,,,,
Australopithecus,NOT IN VOCAB,,,,,,
Australorp Chicken,NOT IN VOCAB,,,,,,
Avocet,NOT IN VOCAB,,,,,,
Axanthic Ball Python,NOT IN VOCAB,,,,,,
Axolotl,NOT IN VOCAB,,,,,,
Ayam Cemani,NOT IN VOCAB,,,,,,
Aye-aye,NOT IN VOCAB,,,,,,
Azawakh,NOT IN VOCAB,,,,,,
Babirusa,NOT IN VOCAB,,,,,,
Baboon,NOT IN VOCAB,,,,,,
Bactrian Camel,NOT IN VOCAB,,,,,,
Badger,NOT IN VOCAB,,,,,,
Bagle  Basset Hound Mix,NOT IN VOCAB,,,,,,
Bagworm Moth,NOT IN VOCAB,,,,,,
Bagworm Moth Caterpillar,NOT IN VOCAB,,,,,,
Bairds Rat Snake,NOT IN VOCAB,,,,,,
Bald Eagle,NOT IN VOCAB,,,,,,
Baleen Whale,NOT IN VOCAB,,,,,,
Balinese,NOT IN VOCAB,,,,,,
Balkan Lynx,NOT IN VOCAB,,,,,,
Ball Python,NOT IN VOCAB,,,,,,
Bamboo Shark,NOT IN VOCAB,,,,,,
Bamboo Worms,NOT IN VOCAB,,,,,,
Banana Ball Python,NOT IN VOCAB,,,,,,
Banana Cinnamon Ball Python,NOT IN VOCAB,,,,,,
Banana Eel,NOT IN VOCAB,,,,,,
Banana Spider,NOT IN VOCAB,,,,,,
Banded Krait,NOT IN VOCAB,,,,,,
Banded Palm Civet,NOT IN VOCAB,,,,,,
Banded Water Snake,NOT IN VOCAB,,,,,,
Bandicoot,NOT IN VOCAB,,,,,,
Banjo Catfish,NOT IN VOCAB,,,,,,
Barb,NOT IN VOCAB,,,,,,
Barbet,NOT IN VOCAB,,,,,,
Barbuts Cuckoo Bumblebee,NOT IN VOCAB,,,,,,
Barinasuchus,NOT IN VOCAB,,,,,,
Bark Beetle,NOT IN VOCAB,,,,,,
Bark Scorpion,NOT IN VOCAB,,,,,,
Barn Owl,NOT IN VOCAB,,,,,,
Barn Spider,NOT IN VOCAB,,,,,,
