ForagerWord,Result
eider,IN AZ
eider duck,NOT IN AZ
eland,IN AZ
electric eel,IN AZ
elephant,IN AZ
elephant seal,IN AZ
elk,IN AZ
elkhound,NOT IN AZ
elver,NOT IN AZ
emerald shiner,NOT IN AZ
emperor penguin,IN AZ
emu,IN AZ
equine,NOT IN AZ
ermine,IN AZ
escolar,IN AZ
eugarie,NOT IN AZ
evening grosbeak,IN AZ
ewe,NOT IN AZ
fairy shrimp,NOT IN AZ
fairy tern,NOT IN AZ
falcon,IN AZ
fall armyworm,NOT IN AZ
fall webworm,NOT IN AZ
fallow deer,IN AZ
fawn,NOT IN AZ
feline,NOT IN AZ
fennec fox,IN AZ
ferret,IN AZ
fiddler crab,IN AZ
filaria,NOT IN AZ
filly,NOT IN AZ
fin whale,IN AZ
finback,NOT IN AZ
finback whale,NOT IN AZ
finch,IN AZ
fire ant,NOT IN AZ
firebird,NOT IN AZ
firebug,NOT IN AZ
firefly,IN AZ
fish,IN AZ
fish eagle,NOT IN AZ
fisher,IN AZ
fisher cat,NOT IN AZ
flacon,NOT IN AZ
flamingo,IN AZ
flatfish,NOT IN AZ
flathead catfish,IN AZ
flatworm,NOT IN AZ
flea,IN AZ
flea beetle,IN AZ
flies,NOT IN AZ
flounder,IN AZ
fly,IN AZ
fly fish,NOT IN AZ
flycatcher,IN AZ
flying fish,IN AZ
flying monkey,NOT IN AZ
flying snake,IN AZ
flying squirrel,IN AZ
foal,NOT IN AZ
forest tent caterpillar,NOT IN AZ
fossa,IN AZ
four eye butterfly fish,NOT IN AZ
foureye butterflyfish,NOT IN AZ
fowl,NOT IN AZ
fox,IN AZ
fox squirrel,IN AZ
fox terrier,IN AZ
foxes,NOT IN AZ
foxhound,NOT IN AZ
french bulldog,IN AZ
fresh water fish,NOT IN AZ
freshwater eel,IN AZ
freshwater fish,NOT IN AZ
freshwater mussel,NOT IN AZ
friesian,NOT IN AZ
frog,IN AZ
frogfish,IN AZ
froghopper,NOT IN AZ
frogmouth,NOT IN AZ
fruit bat,IN AZ
fruit fly,IN AZ
fulmar,NOT IN AZ
fungi,NOT IN AZ
fungus gnat,NOT IN AZ
gaboon viper,IN AZ
gadfly,NOT IN AZ
gal,NOT IN AZ
gall midge,NOT IN AZ
gall wasp,NOT IN AZ
gallinule,NOT IN AZ
gamecock,NOT IN AZ
gander,NOT IN AZ
gannet,NOT IN AZ
gar,IN AZ
garden snake,NOT IN AZ
garfish,NOT IN AZ
garibaldi,NOT IN AZ
garter snake,IN AZ
gator,NOT IN AZ
gaur,NOT IN AZ
gavial,NOT IN AZ
gazelle,IN AZ
gecko,IN AZ
geese,NOT IN AZ
gelding,NOT IN AZ
gemsbok,NOT IN AZ
genet,IN AZ
geoduck,NOT IN AZ
gerbil,IN AZ
gerbils,NOT IN AZ
german shepard,NOT IN AZ
german shepherd,NOT IN AZ
gharial,IN AZ
ghost crab,IN AZ
giant,NOT IN AZ
giant anteater,NOT IN AZ
giant panda,NOT IN AZ
giant schnauzer,IN AZ
giant squid,NOT IN AZ
giant tortoise,NOT IN AZ
gibbon,IN AZ
gila monster,IN AZ
giraffe,IN AZ
glaucus,NOT IN AZ
glider,NOT IN AZ
globefish,NOT IN AZ
glowworm,IN AZ
gnat,IN AZ
gnatcatcher,NOT IN AZ
gnu,NOT IN AZ
goanna,NOT IN AZ
goat,IN AZ
goatfish,NOT IN AZ
goats,NOT IN AZ
goby,NOT IN AZ
godwit,NOT IN AZ
godzilla,NOT IN AZ
gold fish,NOT IN AZ
golden eagle,IN AZ
golden labrador,NOT IN AZ
golden marmot,NOT IN AZ
golden plover,NOT IN AZ
golden retriever,IN AZ
golden shiner,IN AZ
goldendoodle,IN AZ
goldfinch,NOT IN AZ
goldfish,IN AZ
gooney bird,NOT IN AZ
goose,IN AZ
gopher,IN AZ
gopher snake,IN AZ
gopher tortoise,IN AZ
gopher turtle,NOT IN AZ
gorgonian,NOT IN AZ
gorilla,IN AZ
goshawk,IN AZ
gosling,NOT IN AZ
grackle,NOT IN AZ
grass snake,IN AZ
grasshopper,IN AZ
grasshopper mouse,IN AZ
gray catbird,IN AZ
gray fox,IN AZ
gray jay,NOT IN AZ
gray mullet,NOT IN AZ
gray partridge,NOT IN AZ
gray treefrog,NOT IN AZ
gray whale,NOT IN AZ
gray wolf,NOT IN AZ
graywolf,NOT IN AZ
great auk,NOT IN AZ
great blue heron,IN AZ
great crested grebe,NOT IN AZ
great dane,IN AZ
great horned owl,NOT IN AZ
great pyrenees,IN AZ
great white shark,IN AZ
greater yellowlegs,NOT IN AZ
