ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
canary,IN VOCAB,,,,,
canebrake rattlesnake,NOT IN VOCAB,,,,,
canine,IN VOCAB,,,,,
canis lupus,NOT IN VOCAB,,,,,
cankerworm,NOT IN VOCAB,,,,,
canvasback,NOT IN VOCAB,,,,,
canvasback duck,NOT IN VOCAB,,,,,
cape buffalo,NOT IN VOCAB,,,,,
capelin,NOT IN VOCAB,,,,,
capercaillie,NOT IN VOCAB,,,,,
capibara,NOT IN VOCAB,,,,,
caplin,IN VOCAB,,,,,
capon,NOT IN VOCAB,,,,,
capuchin,NOT IN VOCAB,,,,,
capuchin monkey,NOT IN VOCAB,,,,,
capybara,NOT IN VOCAB,,,,,
carabao,NOT IN VOCAB,,,,,
caracal,NOT IN VOCAB,,,,,
caracara,NOT IN VOCAB,,,,,
cardinal,IN VOCAB,,,,,
caribou,IN VOCAB,,,,,
carp,IN VOCAB,,,,,
carpenter ant,NOT IN VOCAB,,,,,
carpenter bee,NOT IN VOCAB,,,,,
carpet beetle,NOT IN VOCAB,,,,,
carrier pigeon,NOT IN VOCAB,,,,,
carrion crow,NOT IN VOCAB,,,,,
carthorse,NOT IN VOCAB,,,,,
cartilaginous fish,NOT IN VOCAB,,,,,
cassowary,NOT IN VOCAB,,,,,
cat,IN VOCAB,,,,,
catamount,NOT IN VOCAB,,,,,
catbird,NOT IN VOCAB,,,,,
caterpillar,IN VOCAB,,,,,
catfish,NOT IN VOCAB,,,,,
cattle,IN VOCAB,,,,,
cattle egret,NOT IN VOCAB,,,,,
cavalier king charles spaniel,NOT IN VOCAB,,,,,
cavy,NOT IN VOCAB,,,,,
cayote,NOT IN VOCAB,,,,,
cedar waxwing,NOT IN VOCAB,,,,,
centipede,IN VOCAB,,,,,
cephalopod,NOT IN VOCAB,,,,,
ceratopsian,NOT IN VOCAB,,,,,
cervid,NOT IN VOCAB,,,,,
cetacean,NOT IN VOCAB,,,,,
chachalaca,NOT IN VOCAB,,,,,
chaffinch,IN VOCAB,,,,,
chain pickerel,NOT IN VOCAB,,,,,
chambered nautilus,NOT IN VOCAB,,,,,
chameleon,IN VOCAB,,,,,
chamois,IN VOCAB,,,,,
channel catfish,NOT IN VOCAB,,,,,
char,IN VOCAB,,,,,
charolais,NOT IN VOCAB,,,,,
cheep,NOT IN VOCAB,,,,,
cheetah,NOT IN VOCAB,,,,,
chetah,NOT IN VOCAB,,,,,
chewbacca,NOT IN VOCAB,,,,,
chick,IN VOCAB,,,,,
chickadee,IN VOCAB,,,,,
chicken,IN VOCAB,,,,,
chigger,NOT IN VOCAB,,,,,
chihuahua,NOT IN VOCAB,,,,,
