ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
piping plover,NOT IN VOCAB,,,,,
pipistrelle,NOT IN VOCAB,,,,,
pipit,NOT IN VOCAB,,,,,
piranha,NOT IN VOCAB,,,,,
pistol shrimp,NOT IN VOCAB,,,,,
pit bull,NOT IN VOCAB,,,,,
pit bull terrier,NOT IN VOCAB,,,,,
pit viper,NOT IN VOCAB,,,,,
pitbull,NOT IN VOCAB,,,,,
placental mammal,NOT IN VOCAB,,,,,
placoderm,NOT IN VOCAB,,,,,
plaice,NOT IN VOCAB,,,,,
planaria,NOT IN VOCAB,,,,,
plankton,NOT IN VOCAB,,,,,
platypus,NOT IN VOCAB,,,,,
pleco,NOT IN VOCAB,,,,,
plesiosaur,NOT IN VOCAB,,,,,
plover,IN VOCAB,,,,,
pochard,NOT IN VOCAB,,,,,
pocket gopher,NOT IN VOCAB,,,,,
poison dart frog,NOT IN VOCAB,,,,,
polar,IN VOCAB,,,,,
polar bear,NOT IN VOCAB,,,,,
polecat,NOT IN VOCAB,,,,,
pollack,NOT IN VOCAB,,,,,
pollock,IN VOCAB,,,,,
pollywog,NOT IN VOCAB,,,,,
polo pony,NOT IN VOCAB,,,,,
polychaeta,NOT IN VOCAB,,,,,
pomeranian,NOT IN VOCAB,,,,,
pompano,NOT IN VOCAB,,,,,
pony,IN VOCAB,,,,,
pooch,NOT IN VOCAB,,,,,
poodle,IN VOCAB,,,,,
popinjay,NOT IN VOCAB,,,,,
porbeagle,NOT IN VOCAB,,,,,
porcupine,IN VOCAB,,,,,
porgy,NOT IN VOCAB,,,,,
pork,IN VOCAB,,,,,
porpoise,IN VOCAB,,,,,
portuguese water dog,NOT IN VOCAB,,,,,
possum,IN VOCAB,,,,,
potato beetle,NOT IN VOCAB,,,,,
potbellied pig,NOT IN VOCAB,,,,,
potoroo,NOT IN VOCAB,,,,,
poultry,IN VOCAB,,,,,
pouter,NOT IN VOCAB,,,,,
prairie cat,NOT IN VOCAB,,,,,
prairie chicken,NOT IN VOCAB,,,,,
prairie dog,NOT IN VOCAB,,,,,
prairie grouse,NOT IN VOCAB,,,,,
prairie rattlesnake,NOT IN VOCAB,,,,,
prairie vole,NOT IN VOCAB,,,,,
prawn,NOT IN VOCAB,,,,,
praying mantis,NOT IN VOCAB,,,,,
primate,IN VOCAB,,,,,
proboscis monkey,NOT IN VOCAB,,,,,
pronghorn,NOT IN VOCAB,,,,,
pronghorn antelope,NOT IN VOCAB,,,,,
protists,NOT IN VOCAB,,,,,
psyllid,NOT IN VOCAB,,,,,
ptarmigan,IN VOCAB,,,,,
pterodactyl,NOT IN VOCAB,,,,,
pterosaur,NOT IN VOCAB,,,,,
pubic louse,NOT IN VOCAB,,,,,
puff adder,NOT IN VOCAB,,,,,
puffer,NOT IN VOCAB,,,,,
puffer fish,NOT IN VOCAB,,,,,
pufferfish,NOT IN VOCAB,,,,,
puffin,IN VOCAB,,,,,
pug,IN VOCAB,,,,,
puggle,NOT IN VOCAB,,,,,
pullet,IN VOCAB,,,,,
puma,IN VOCAB,,,,,
pumpkinseed,NOT IN VOCAB,,,,,
pup,IN VOCAB,,,,,
pupa,NOT IN VOCAB,,,,,
puppy,IN VOCAB,,,,,
purple finch,NOT IN VOCAB,,,,,
purple gallinule,NOT IN VOCAB,,,,,
purple marten,NOT IN VOCAB,,,,,
puss,IN VOCAB,,,,,
pussycat,NOT IN VOCAB,,,,,
pygmy chimpanzee,NOT IN VOCAB,,,,,
pygmy elephant,NOT IN VOCAB,,,,,
pygmy goat,NOT IN VOCAB,,,,,
pygmy marmoset,NOT IN VOCAB,,,,,
pygmy sperm whale,NOT IN VOCAB,,,,,
python,NOT IN VOCAB,,,,,
quagga,NOT IN VOCAB,,,,,
quahog,NOT IN VOCAB,,,,,
quail,IN VOCAB,,,,,
queen bee,NOT IN VOCAB,,,,,
queenfish,NOT IN VOCAB,,,,,
quetzal,NOT IN VOCAB,,,,,
quokka,NOT IN VOCAB,,,,,
rabbit,IN VOCAB,,,,,
raccoon,NOT IN VOCAB,,,,,
raccoon fox,NOT IN VOCAB,,,,,
racehorse,NOT IN VOCAB,,,,,
racoon,NOT IN VOCAB,,,,,
ragdoll cat,NOT IN VOCAB,,,,,
rainbow lorikeet,NOT IN VOCAB,,,,,
rainbow smelt,NOT IN VOCAB,,,,,
rainbow trout,NOT IN VOCAB,,,,,
rainbowfish,NOT IN VOCAB,,,,,
ram,IN VOCAB,,,,,
raptor,NOT IN VOCAB,,,,,
rat,IN VOCAB,,,,,
rat snake,NOT IN VOCAB,,,,,
rat terrier,NOT IN VOCAB,,,,,
ratite,NOT IN VOCAB,,,,,
raton,NOT IN VOCAB,,,,,
rattler,IN VOCAB,,,,,
rattlesnake,IN VOCAB,,,,,
raven,IN VOCAB,,,,,
ray,IN VOCAB,,,,,
razor clam,NOT IN VOCAB,,,,,
razorback,NOT IN VOCAB,,,,,
razorbill,NOT IN VOCAB,,,,,
red admiral butterfly,NOT IN VOCAB,,,,,
red bellied woodpecker,NOT IN VOCAB,,,,,
red deer,NOT IN VOCAB,,,,,
red drum,NOT IN VOCAB,,,,,
red fox,NOT IN VOCAB,,,,,
red kangaroo,NOT IN VOCAB,,,,,
red panda,NOT IN VOCAB,,,,,
red robin,NOT IN VOCAB,,,,,
red shouldered hawk,NOT IN VOCAB,,,,,
red snapper,NOT IN VOCAB,,,,,
red squirrel,NOT IN VOCAB,,,,,
red tailed hawk,NOT IN VOCAB,,,,,
red winged blackbird,NOT IN VOCAB,,,,,
redbird,IN VOCAB,,,,,
redbone,NOT IN VOCAB,,,,,
redbreast,IN VOCAB,,,,,
redbug,NOT IN VOCAB,,,,,
redear,NOT IN VOCAB,,,,,
redfish,NOT IN VOCAB,,,,,
redheaded woodpecker,NOT IN VOCAB,,,,,
redhorse,NOT IN VOCAB,,,,,
redhorse sucker,NOT IN VOCAB,,,,,
redpoll,NOT IN VOCAB,,,,,
redshank,NOT IN VOCAB,,,,,
redstart,NOT IN VOCAB,,,,,
redtail,IN VOCAB,,,,,
redtail hawk,NOT IN VOCAB,,,,,
redwing,NOT IN VOCAB,,,,,
reed bunting,NOT IN VOCAB,,,,,
reef shark,NOT IN VOCAB,,,,,
reindeer,IN VOCAB,,,,,
remora,NOT IN VOCAB,,,,,
reptile,IN VOCAB,,,,,
reticulated python,NOT IN VOCAB,,,,,
retriever,NOT IN VOCAB,,,,,
rhea,NOT IN VOCAB,,,,,
rhesus macaque,NOT IN VOCAB,,,,,
rhesus monkey,NOT IN VOCAB,,,,,
rhino,NOT IN VOCAB,,,,,
rhinoceros,IN VOCAB,,,,,
rhinoceros beetle,NOT IN VOCAB,,,,,
ribbonfish,NOT IN VOCAB,,,,,
right whale,NOT IN VOCAB,,,,,
ring-tailed lemur,NOT IN VOCAB,,,,,
ringtail,NOT IN VOCAB,,,,,
ringtail cat,NOT IN VOCAB,,,,,
river otter,NOT IN VOCAB,,,,,
river rat,NOT IN VOCAB,,,,,
roach,IN VOCAB,,,,,
roadrunner,NOT IN VOCAB,,,,,
robin,IN VOCAB,,,,,
robin redbreast,NOT IN VOCAB,,,,,
rock hyrax,NOT IN VOCAB,,,,,
rockfish,NOT IN VOCAB,,,,,
rockhead,NOT IN VOCAB,,,,,
rodent,NOT IN VOCAB,,,,,
roe,IN VOCAB,,,,,
roe deer,NOT IN VOCAB,,,,,
roly-poly,NOT IN VOCAB,,,,,
rook,IN VOCAB,,,,,
rooster,IN VOCAB,,,,,
roseate spoonbill,NOT IN VOCAB,,,,,
roseate tern,NOT IN VOCAB,,,,,
rotifer,NOT IN VOCAB,,,,,
rottweiler,NOT IN VOCAB,,,,,
roundworm,NOT IN VOCAB,,,,,
rudd,NOT IN VOCAB,,,,,
ruddy duck,NOT IN VOCAB,,,,,
ruddy turnstone,NOT IN VOCAB,,,,,
ruffed grouse,NOT IN VOCAB,,,,,
ruminant,NOT IN VOCAB,,,,,
russian blue,NOT IN VOCAB,,,,,
rusty blackbird,NOT IN VOCAB,,,,,
saber tooth,NOT IN VOCAB,,,,,
sabertoothed cat,NOT IN VOCAB,,,,,
sabertoothed tiger,NOT IN VOCAB,,,,,
sable,IN VOCAB,,,,,
sable antelope,NOT IN VOCAB,,,,,
sacred ibis,NOT IN VOCAB,,,,,
sage grouse,NOT IN VOCAB,,,,,
saiga,NOT IN VOCAB,,,,,
sailfish,NOT IN VOCAB,,,,,
saint bernard,NOT IN VOCAB,,,,,
saki monkey,NOT IN VOCAB,,,,,
salamander,IN VOCAB,,,,,
salmon,IN VOCAB,,,,,
salmonid,NOT IN VOCAB,,,,,
saltwater crocodile,NOT IN VOCAB,,,,,
saltwater fish,NOT IN VOCAB,,,,,
saluki,NOT IN VOCAB,,,,,
sand cat,NOT IN VOCAB,,,,,
sand crab,NOT IN VOCAB,,,,,
sand dab,NOT IN VOCAB,,,,,
sand dollar,NOT IN VOCAB,,,,,
sand lance,NOT IN VOCAB,,,,,
sand shark,NOT IN VOCAB,,,,,
sand tiger shark,NOT IN VOCAB,,,,,
sandbar shark,NOT IN VOCAB,,,,,
sandfish,NOT IN VOCAB,,,,,
sandfly,NOT IN VOCAB,,,,,
sandhill crane,NOT IN VOCAB,,,,,
sandpiper,NOT IN VOCAB,,,,,
sapsucker,NOT IN VOCAB,,,,,
sardine,IN VOCAB,,,,,
sauropod,NOT IN VOCAB,,,,,
sauropod dinosaur,NOT IN VOCAB,,,,,
saury,NOT IN VOCAB,,,,,
savannah cat,NOT IN VOCAB,,,,,
sawfish,NOT IN VOCAB,,,,,
sawfly,NOT IN VOCAB,,,,,
scallop,NOT IN VOCAB,,,,,
scaly anteater,NOT IN VOCAB,,,,,
scarab,NOT IN VOCAB,,,,,
scarlet macaw,NOT IN VOCAB,,,,,
scarlet tanager,NOT IN VOCAB,,,,,
scaup,NOT IN VOCAB,,,,,
schipperke,NOT IN VOCAB,,,,,
schistosome,NOT IN VOCAB,,,,,
schnauzer,NOT IN VOCAB,,,,,
scorpion,IN VOCAB,,,,,
scorpionfish,NOT IN VOCAB,,,,,
scoter,NOT IN VOCAB,,,,,
scottish fold,NOT IN VOCAB,,,,,
scottish shetland,NOT IN VOCAB,,,,,
screech owl,NOT IN VOCAB,,,,,
scrod,NOT IN VOCAB,,,,,
scrub jay,NOT IN VOCAB,,,,,
sculpin,NOT IN VOCAB,,,,,
scup,NOT IN VOCAB,,,,,
sea anemone,NOT IN VOCAB,,,,,
sea bass,NOT IN VOCAB,,,,,
sea bear,NOT IN VOCAB,,,,,
sea bream,NOT IN VOCAB,,,,,
sea cow,NOT IN VOCAB,,,,,
sea cucumber,NOT IN VOCAB,,,,,
sea lamprey,NOT IN VOCAB,,,,,
sea lion,NOT IN VOCAB,,,,,
sea lions,NOT IN VOCAB,,,,,
sea monkey,NOT IN VOCAB,,,,,
sea otter,NOT IN VOCAB,,,,,
sea otters,NOT IN VOCAB,,,,,
sea ray,NOT IN VOCAB,,,,,
sea scorpion,NOT IN VOCAB,,,,,
sea slug,NOT IN VOCAB,,,,,
sea slug aplysia,NOT IN VOCAB,,,,,
sea snake,NOT IN VOCAB,,,,,
sea sponge,NOT IN VOCAB,,,,,
sea squirt,NOT IN VOCAB,,,,,
sea star,NOT IN VOCAB,,,,,
sea turtle,NOT IN VOCAB,,,,,
sea urchin,NOT IN VOCAB,,,,,
seabird,NOT IN VOCAB,,,,,
seagull,NOT IN VOCAB,,,,,
seahawk,NOT IN VOCAB,,,,,
seahorse,NOT IN VOCAB,,,,,
seal,IN VOCAB,,,,,
sealion,NOT IN VOCAB,,,,,
sedge wren,NOT IN VOCAB,,,,,
sei whale,NOT IN VOCAB,,,,,
serow,NOT IN VOCAB,,,,,
serpent,IN VOCAB,,,,,
serval,NOT IN VOCAB,,,,,
shad,IN VOCAB,,,,,
shar pei,NOT IN VOCAB,,,,,
shark,IN VOCAB,,,,,
shearwater,NOT IN VOCAB,,,,,
sheep,IN VOCAB,,,,,
sheepdog,NOT IN VOCAB,,,,,
sheepshead,NOT IN VOCAB,,,,,
shelduck,NOT IN VOCAB,,,,,
shellfish,IN VOCAB,,,,,
shepherd,IN VOCAB,,,,,
shetland pony,NOT IN VOCAB,,,,,
shetland sheepdog,NOT IN VOCAB,,,,,
shih tzu,NOT IN VOCAB,,,,,
shipworm,NOT IN VOCAB,,,,,
shorebird,NOT IN VOCAB,,,,,
shortfin mako,NOT IN VOCAB,,,,,
shorthorn,NOT IN VOCAB,,,,,
shoveler,NOT IN VOCAB,,,,,
shrew,IN VOCAB,,,,,
shrike,NOT IN VOCAB,,,,,
shrimp,IN VOCAB,,,,,
siamang,NOT IN VOCAB,,,,,
siamese cat,NOT IN VOCAB,,,,,
siberian blue robin,NOT IN VOCAB,,,,,
siberian cat,NOT IN VOCAB,,,,,
siberian husky,NOT IN VOCAB,,,,,
siberian tiger,NOT IN VOCAB,,,,,
sidewinder,NOT IN VOCAB,,,,,
sika,NOT IN VOCAB,,,,,
silkworm,IN VOCAB,,,,,
silkworm moth,NOT IN VOCAB,,,,,
silky terrier,NOT IN VOCAB,,,,,
silverback,NOT IN VOCAB,,,,,
silverback gorilla,NOT IN VOCAB,,,,,
silverfish,NOT IN VOCAB,,,,,
silvertip,NOT IN VOCAB,,,,,
siphonophore,NOT IN VOCAB,,,,,
siskin,NOT IN VOCAB,,,,,
skate,IN VOCAB,,,,,
skink,NOT IN VOCAB,,,,,
skipjack,NOT IN VOCAB,,,,,
skipjack tuna,NOT IN VOCAB,,,,,
skua,NOT IN VOCAB,,,,,
skunk,IN VOCAB,,,,,
skylark,IN VOCAB,,,,,
sled dog,NOT IN VOCAB,,,,,
slender loris,NOT IN VOCAB,,,,,
slime eels,NOT IN VOCAB,,,,,
sloth,IN VOCAB,,,,,
sloth bear,NOT IN VOCAB,,,,,
slow loris,NOT IN VOCAB,,,,,
slug,IN VOCAB,,,,,
smallmouth,NOT IN VOCAB,,,,,
smallmouth bass,NOT IN VOCAB,,,,,
smalltooth sawfish,NOT IN VOCAB,,,,,
smelt,IN VOCAB,,,,,
smooth dogfish,NOT IN VOCAB,,,,,
smooth hammerhead,NOT IN VOCAB,,,,,
snail,IN VOCAB,,,,,
snail darter,NOT IN VOCAB,,,,,
snailfish,NOT IN VOCAB,,,,,
snake,IN VOCAB,,,,,
snapper,IN VOCAB,,,,,
snapping turtle,NOT IN VOCAB,,,,,
snipe,IN VOCAB,,,,,
snoek,NOT IN VOCAB,,,,,
snook,NOT IN VOCAB,,,,,
snow crab,NOT IN VOCAB,,,,,
snow goose,NOT IN VOCAB,,,,,
snow leopard,NOT IN VOCAB,,,,,
snow lion,NOT IN VOCAB,,,,,
snow monkey,NOT IN VOCAB,,,,,
snowbird,NOT IN VOCAB,,,,,
snowshoe hare,NOT IN VOCAB,,,,,
snowy egret,NOT IN VOCAB,,,,,
snowy owl,NOT IN VOCAB,,,,,
sockeye,NOT IN VOCAB,,,,,
sockeye salmon,NOT IN VOCAB,,,,,
song thrush,NOT IN VOCAB,,,,,
songbird,NOT IN VOCAB,,,,,
soupfin,NOT IN VOCAB,,,,,
sow,IN VOCAB,,,,,
spadefish,NOT IN VOCAB,,,,,
spadefoot,NOT IN VOCAB,,,,,
spadefoot toad,NOT IN VOCAB,,,,,
spaniel,IN VOCAB,,,,,
spanish mackerel,NOT IN VOCAB,,,,,
sparrow,IN VOCAB,,,,,
sparrow hawk,NOT IN VOCAB,,,,,
spearfish,NOT IN VOCAB,,,,,
speckled trout,NOT IN VOCAB,,,,,
spectacled caiman,NOT IN VOCAB,,,,,
sperm whale,NOT IN VOCAB,,,,,
sphinx moth,NOT IN VOCAB,,,,,
sphynx cat,NOT IN VOCAB,,,,,
spider,IN VOCAB,,,,,
spider crab,NOT IN VOCAB,,,,,
spider mite,NOT IN VOCAB,,,,,
spider monkey,NOT IN VOCAB,,,,,
spiny anteater,NOT IN VOCAB,,,,,
spiny dogfish,NOT IN VOCAB,,,,,
spiny dogfish shark,NOT IN VOCAB,,,,,
spiny lobster,NOT IN VOCAB,,,,,
spitting cobra,NOT IN VOCAB,,,,,
spitz,NOT IN VOCAB,,,,,
sponge,IN VOCAB,,,,,
spoonbill,NOT IN VOCAB,,,,,
spotted flycatcher,NOT IN VOCAB,,,,,
spotted hyena,NOT IN VOCAB,,,,,
spotted owl,NOT IN VOCAB,,,,,
spotted salamander,NOT IN VOCAB,,,,,
spotted sandpiper,NOT IN VOCAB,,,,,
sprat,IN VOCAB,,,,,
spring peeper,NOT IN VOCAB,,,,,
springbok,NOT IN VOCAB,,,,,
springer spaniel,NOT IN VOCAB,,,,,
spruce bark beetle,NOT IN VOCAB,,,,,
spruce grouse,NOT IN VOCAB,,,,,
squab,IN VOCAB,,,,,
squid,NOT IN VOCAB,,,,,
squirrel,IN VOCAB,,,,,
squirrel monkey,NOT IN VOCAB,,,,,
staffordshire bull terrier,NOT IN VOCAB,,,,,
staffordshire terrier,NOT IN VOCAB,,,,,
stag,IN VOCAB,,,,,
stag beetle,NOT IN VOCAB,,,,,
staghorn coral,NOT IN VOCAB,,,,,
stallion,IN VOCAB,,,,,
standard poodle,NOT IN VOCAB,,,,,
star-nosed mole,NOT IN VOCAB,,,,,
starfish,IN VOCAB,,,,,
stargazer,NOT IN VOCAB,,,,,
starling,IN VOCAB,,,,,
steed,IN VOCAB,,,,,
steenbok,NOT IN VOCAB,,,,,
steeplechase horse,NOT IN VOCAB,,,,,
steer,IN VOCAB,,,,,
stegosaurus,NOT IN VOCAB,,,,,
steller jay,NOT IN VOCAB,,,,,
stick bug,NOT IN VOCAB,,,,,
stick insect,NOT IN VOCAB,,,,,
stickleback,NOT IN VOCAB,,,,,
stilt,NOT IN VOCAB,,,,,
stingray,NOT IN VOCAB,,,,,
stinkbug,NOT IN VOCAB,,,,,
stoat,NOT IN VOCAB,,,,,
stone curlew,NOT IN VOCAB,,,,,
stone marten,NOT IN VOCAB,,,,,
stonefish,NOT IN VOCAB,,,,,
stonefly,NOT IN VOCAB,,,,,
stony coral,NOT IN VOCAB,,,,,
stork,IN VOCAB,,,,,
storm petrel,NOT IN VOCAB,,,,,
stormy petrel,NOT IN VOCAB,,,,,
striped bass,NOT IN VOCAB,,,,,
striped hyena,NOT IN VOCAB,,,,,
striped marlin,NOT IN VOCAB,,,,,
striped mullet,NOT IN VOCAB,,,,,
striped skunk,NOT IN VOCAB,,,,,
striper,NOT IN VOCAB,,,,,
sturgeon,IN VOCAB,,,,,
suckerfish,NOT IN VOCAB,,,,,
suckermouth catfish,NOT IN VOCAB,,,,,
sugar glider,NOT IN VOCAB,,,,,
summer tanager,NOT IN VOCAB,,,,,
sun bear,NOT IN VOCAB,,,,,
sun conure,NOT IN VOCAB,,,,,
sunfish,IN VOCAB,,,,,
superbug,NOT IN VOCAB,,,,,
surfperch,NOT IN VOCAB,,,,,
surgeon fish,NOT IN VOCAB,,,,,
surgeonfish,NOT IN VOCAB,,,,,
swallow,IN VOCAB,,,,,
swallowtail,NOT IN VOCAB,,,,,
swamp sparrow,NOT IN VOCAB,,,,,
swan,IN VOCAB,,,,,
swift,IN VOCAB,,,,,
swiftlet,NOT IN VOCAB,,,,,
swine,IN VOCAB,,,,,
swordfish,NOT IN VOCAB,,,,,
swordtail,NOT IN VOCAB,,,,,
t rex,NOT IN VOCAB,,,,,
tabby,IN VOCAB,,,,,
tabby cat,NOT IN VOCAB,,,,,
tadpole,IN VOCAB,,,,,
tadpole shrimp,NOT IN VOCAB,,,,,
taipan,NOT IN VOCAB,,,,,
takahe,NOT IN VOCAB,,,,,
takin,IN VOCAB,,,,,
tamarin,NOT IN VOCAB,,,,,
tammar wallaby,NOT IN VOCAB,,,,,
tanager,IN VOCAB,,,,,
tapeworm,NOT IN VOCAB,,,,,
tapir,NOT IN VOCAB,,,,,
tarantula,NOT IN VOCAB,,,,,
tardigrade,NOT IN VOCAB,,,,,
tarpon,NOT IN VOCAB,,,,,
tarsier,NOT IN VOCAB,,,,,
tasmanian devil,NOT IN VOCAB,,,,,
tautog,NOT IN VOCAB,,,,,
tawny owl,NOT IN VOCAB,,,,,
teacup chihuahua,NOT IN VOCAB,,,,,
teleost,NOT IN VOCAB,,,,,
teleost fish,NOT IN VOCAB,,,,,
tench,NOT IN VOCAB,,,,,
tent caterpillar,NOT IN VOCAB,,,,,
termite,NOT IN VOCAB,,,,,
tern,IN VOCAB,,,,,
terrapin,NOT IN VOCAB,,,,,
terrier,IN VOCAB,,,,,
tetra,NOT IN VOCAB,,,,,
tetrapod,NOT IN VOCAB,,,,,
theropod,NOT IN VOCAB,,,,,
theropod dinosaur,NOT IN VOCAB,,,,,
thorny devil,NOT IN VOCAB,,,,,
thoroughbred,IN VOCAB,,,,,
threadfin,NOT IN VOCAB,,,,,
three toed sloth,NOT IN VOCAB,,,,,
thresher shark,NOT IN VOCAB,,,,,
thrip,NOT IN VOCAB,,,,,
thrush,IN VOCAB,,,,,
thylacine,NOT IN VOCAB,,,,,
tick,IN VOCAB,,,,,
tiger,IN VOCAB,,,,,
tiger beetle,NOT IN VOCAB,,,,,
tiger cub,NOT IN VOCAB,,,,,
tiger moth,NOT IN VOCAB,,,,,
tiger rattlesnake,NOT IN VOCAB,,,,,
tiger salamander,NOT IN VOCAB,,,,,
tiger shark,NOT IN VOCAB,,,,,
tigon,NOT IN VOCAB,,,,,
tigress,NOT IN VOCAB,,,,,
tilapia,NOT IN VOCAB,,,,,
tilefish,NOT IN VOCAB,,,,,
timber rattlesnake,NOT IN VOCAB,,,,,
timber wolf,NOT IN VOCAB,,,,,
titanosaur,NOT IN VOCAB,,,,,
titi,NOT IN VOCAB,,,,,
titi monkey,NOT IN VOCAB,,,,,
titmouse,IN VOCAB,,,,,
toad,IN VOCAB,,,,,
toadfish,NOT IN VOCAB,,,,,
tobacco budworm,NOT IN VOCAB,,,,,
tobacco hornworm,NOT IN VOCAB,,,,,
tody,NOT IN VOCAB,,,,,
tom turkey,NOT IN VOCAB,,,,,
tomato hornworm,NOT IN VOCAB,,,,,
tomcat,NOT IN VOCAB,,,,,
toothed whale,NOT IN VOCAB,,,,,
tortes,NOT IN VOCAB,,,,,
tortoise,IN VOCAB,,,,,
tortoiseshell,NOT IN VOCAB,,,,,
tortuga,IN VOCAB,,,,,
toucan,NOT IN VOCAB,,,,,
towhee,NOT IN VOCAB,,,,,
toy poodle,NOT IN VOCAB,,,,,
toy spaniel,NOT IN VOCAB,,,,,
tragopan,NOT IN VOCAB,,,,,
trapdoor spider,NOT IN VOCAB,,,,,
tree shrew,NOT IN VOCAB,,,,,
treefrog,NOT IN VOCAB,,,,,
trematode,NOT IN VOCAB,,,,,
trepang,NOT IN VOCAB,,,,,
triceratops,NOT IN VOCAB,,,,,
triggerfish,IN VOCAB,,,,,
trilobite,NOT IN VOCAB,,,,,
tripletail,NOT IN VOCAB,,,,,
trogon,NOT IN VOCAB,,,,,
trotter,IN VOCAB,,,,,
trout,IN VOCAB,,,,,
trumpeter,IN VOCAB,,,,,
trumpeter swan,NOT IN VOCAB,,,,,
tsetse,NOT IN VOCAB,,,,,
tsetse fly,NOT IN VOCAB,,,,,
tuatara,NOT IN VOCAB,,,,,
tubeworm,NOT IN VOCAB,,,,,
tufted puffin,NOT IN VOCAB,,,,,
tufted titmouse,NOT IN VOCAB,,,,,
tuna,NOT IN VOCAB,,,,,
tundra swan,NOT IN VOCAB,,,,,
tunicate,NOT IN VOCAB,,,,,
tunny,IN VOCAB,,,,,
turbot,IN VOCAB,,,,,
turkey,IN VOCAB,,,,,
turkey buzzard,NOT IN VOCAB,,,,,
turkey vulture,NOT IN VOCAB,,,,,
turtle,IN VOCAB,,,,,
turtle dove,NOT IN VOCAB,,,,,
turtledove,NOT IN VOCAB,,,,,
tusker,NOT IN VOCAB,,,,,
tussock moth,NOT IN VOCAB,,,,,
tyrannosaur,NOT IN VOCAB,,,,,
tyrannosaurus,NOT IN VOCAB,,,,,
tyrannosaurus rex,NOT IN VOCAB,,,,,
ungulate,NOT IN VOCAB,,,,,
unicorn,IN VOCAB,,,,,
upland sandpiper,NOT IN VOCAB,,,,,
urchin,IN VOCAB,,,,,
vampire bat,NOT IN VOCAB,,,,,
vaquita,NOT IN VOCAB,,,,,
varmint,NOT IN VOCAB,,,,,
veal,IN VOCAB,,,,,
veery,NOT IN VOCAB,,,,,
velociraptor,NOT IN VOCAB,,,,,
venomous lizard,NOT IN VOCAB,,,,,
vermin,IN VOCAB,,,,,
vertebrate,NOT IN VOCAB,,,,,
vervet monkey,NOT IN VOCAB,,,,,
vesper sparrow,NOT IN VOCAB,,,,,
vicuna,NOT IN VOCAB,,,,,
vinegarroon,NOT IN VOCAB,,,,,
viper,IN VOCAB,,,,,
vireo,NOT IN VOCAB,,,,,
vizsla,NOT IN VOCAB,,,,,
vole,NOT IN VOCAB,,,,,
vulture,IN VOCAB,,,,,
wagtail,NOT IN VOCAB,,,,,
wahoo,NOT IN VOCAB,,,,,
wallaby,NOT IN VOCAB,,,,,
wallaroo,NOT IN VOCAB,,,,,
walleye,NOT IN VOCAB,,,,,
walleyed pike,NOT IN VOCAB,,,,,
walrus,IN VOCAB,,,,,
wandering albatross,NOT IN VOCAB,,,,,
wapiti,NOT IN VOCAB,,,,,
warbler,IN VOCAB,,,,,
warthog,NOT IN VOCAB,,,,,
wasp,IN VOCAB,,,,,
water bear,NOT IN VOCAB,,,,,
water buffalo,NOT IN VOCAB,,,,,
water bug,NOT IN VOCAB,,,,,
water moccasin,NOT IN VOCAB,,,,,
water snake,NOT IN VOCAB,,,,,
waterbird,NOT IN VOCAB,,,,,
waterbuck,NOT IN VOCAB,,,,,
waterfowl,IN VOCAB,,,,,
waxwing,NOT IN VOCAB,,,,,
weakfish,NOT IN VOCAB,,,,,
weasel,IN VOCAB,,,,,
webworm,NOT IN VOCAB,,,,,
weevil,NOT IN VOCAB,,,,,
weimaraner,NOT IN VOCAB,,,,,
western lowland gorilla,NOT IN VOCAB,,,,,
western meadowlark,NOT IN VOCAB,,,,,
western tanager,NOT IN VOCAB,,,,,
westie,NOT IN VOCAB,,,,,
whale,IN VOCAB,,,,,
whale shark,NOT IN VOCAB,,,,,
wheatear,NOT IN VOCAB,,,,,
whelk,NOT IN VOCAB,,,,,
whelp,IN VOCAB,,,,,
whiff,IN VOCAB,,,,,
whippet,NOT IN VOCAB,,,,,
whippoorwill,NOT IN VOCAB,,,,,
whipsnake,NOT IN VOCAB,,,,,
whiptail,NOT IN VOCAB,,,,,
whirligig beetle,NOT IN VOCAB,,,,,
white marlin,NOT IN VOCAB,,,,,
white tailed deer,NOT IN VOCAB,,,,,
white tiger,NOT IN VOCAB,,,,,
white wolf,NOT IN VOCAB,,,,,
whitebait,NOT IN VOCAB,,,,,
whitefish,IN VOCAB,,,,,
whitefly,NOT IN VOCAB,,,,,
whitetail deer,NOT IN VOCAB,,,,,
whiting,IN VOCAB,,,,,
whooper,NOT IN VOCAB,,,,,
whooper swan,NOT IN VOCAB,,,,,
whooping crane,NOT IN VOCAB,,,,,
widgeon,NOT IN VOCAB,,,,,
widow spider,NOT IN VOCAB,,,,,
wiener dog,NOT IN VOCAB,,,,,
wigeon,NOT IN VOCAB,,,,,
wiggler,NOT IN VOCAB,,,,,
wild boar,NOT IN VOCAB,,,,,
wild dog,NOT IN VOCAB,,,,,
wildcat,IN VOCAB,,,,,
wildebeest,NOT IN VOCAB,,,,,
willet,NOT IN VOCAB,,,,,
winkle,IN VOCAB,,,,,
winter wren,NOT IN VOCAB,,,,,
wireworm,NOT IN VOCAB,,,,,
wolf,IN VOCAB,,,,,
wolf cub,NOT IN VOCAB,,,,,
wolf pup,NOT IN VOCAB,,,,,
wolf spider,NOT IN VOCAB,,,,,
wolffish,NOT IN VOCAB,,,,,
