"","Subject","Group","Fluency_Item","Switch_Value","Switch_Method","domain","dimension","structure","alpha","method","param1","param2","param3","full_method","Cluster_Number","Switch","Switch_Number","row_id","fluency_score","semantic","phonological","frequency"
"28","CAM-666","NH","dog",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",1,"Within Cluster Transition",NA,1,25,0.87457859760686,1e-04,5.1
"29","CAM-666","NH","lizard",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",2,"Switch Trial",1,2,25,0.718413781675622,1e-04,3.63
"30","CAM-666","NH","woman",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",3,"Switch Trial",2,3,25,0.488894319501143,0.1667,5.35
"31","CAM-666","NH","goat",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",4,"Switch Trial",3,4,25,0.473801794785224,1e-04,4.02
"32","CAM-666","NH","otter",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",5,"Switch Trial",4,5,25,0.558623690273846,0.125,3.37
"33","CAM-666","NH","bear",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",6,"Switch Trial",5,6,25,0.478382857785095,1e-04,4.71
"34","CAM-666","NH","firefly",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",7,"Switch Trial",6,7,25,0.343677720752468,1e-04,3.13
"35","CAM-666","NH","fly",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",7,"Within Cluster Transition",NA,8,25,0.571946812045852,0.3333,4.75
"36","CAM-666","NH","ant",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",8,"Switch Trial",7,9,25,0.453738182232156,1e-04,3.86
"37","CAM-666","NH","bird",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Switch Trial",8,10,25,0.484051923797844,1e-04,4.63
