Structure [Speech],Alpha [Blended],Switch_Method,Method_Parameter1,Method_Parameter2,Method_Parameter3,Model,Salience_Parameter_1,Salience_Parameter_2,Salience_Parameter_3,k,parameter_link
speech2vec,,delta,rise,fall,,dynamic,semantic,frequency,,4,dynamic_delta_speech2vec
speech2vec,,multimodal,,,,dynamic,semantic,frequency,,2,dynamic_multimodal_speech2vec
speech2vec,,multimodaldelta,rise,fall,alpha,dynamic,semantic,frequency,,5,dynamic_multimodaldelta_speech2vec
speech2vec,,NA,,,,pstatic,semantic,frequency,phonological,3,pstatic_NA_speech2vec
speech2vec,,norms,,,,plocal,semantic,frequency,phonological,3,plocal_norms_speech2vec
speech2vec,,simdrop,,,,plocal,semantic,frequency,phonological,3,plocal_simdrop_speech2vec
speech2vec,,delta,rise,fall,,plocal,semantic,frequency,phonological,5,plocal_delta_speech2vec
speech2vec,,multimodal,,,,plocal,semantic,frequency,phonological,3,plocal_multimodal_speech2vec
speech2vec,,multimodaldelta,rise,fall,alpha,plocal,semantic,frequency,phonological,6,plocal_multimodaldelta_speech2vec
speech2vec,,norms,,,,pglobal,semantic,frequency,phonological,3,pglobal_norms_speech2vec
speech2vec,,simdrop,,,,pglobal,semantic,frequency,phonological,3,pglobal_simdrop_speech2vec
speech2vec,,delta,rise,fall,,pglobal,semantic,frequency,phonological,5,pglobal_delta_speech2vec
speech2vec,,multimodal,,,,pglobal,semantic,frequency,phonological,3,pglobal_multimodal_speech2vec
speech2vec,,multimodaldelta,rise,fall,alpha,pglobal,semantic,frequency,phonological,6,pglobal_multimodaldelta_speech2vec
speech2vec,,norms,,,,pswitch,semantic,frequency,phonological,3,pswitch_norms_speech2vec
speech2vec,,simdrop,,,,pswitch,semantic,frequency,phonological,3,pswitch_simdrop_speech2vec
speech2vec,,delta,rise,fall,,pswitch,semantic,frequency,phonological,5,pswitch_delta_speech2vec
speech2vec,,multimodal,,,,pswitch,semantic,frequency,phonological,3,pswitch_multimodal_speech2vec
speech2vec,,multimodaldelta,rise,fall,alpha,pswitch,semantic,frequency,phonological,6,pswitch_multimodaldelta_speech2vec
USE,,NA,,,,static,semantic,frequency,,2,static_NA_USE
USE,,norms,,,,dynamic,semantic,frequency,,2,dynamic_norms_USE
USE,,simdrop,,,,dynamic,semantic,frequency,,2,dynamic_simdrop_USE
USE,,delta,rise,fall,,dynamic,semantic,frequency,,4,dynamic_delta_USE
USE,,multimodal,,,,dynamic,semantic,frequency,,2,dynamic_multimodal_USE
USE,,multimodaldelta,rise,fall,alpha,dynamic,semantic,frequency,,5,dynamic_multimodaldelta_USE
USE,,NA,,,,pstatic,semantic,frequency,phonological,3,pstatic_NA_USE
USE,,norms,,,,plocal,semantic,frequency,phonological,3,plocal_norms_USE
USE,,simdrop,,,,plocal,semantic,frequency,phonological,3,plocal_simdrop_USE
USE,,delta,rise,fall,,plocal,semantic,frequency,phonological,5,plocal_delta_USE
USE,,multimodal,,,,plocal,semantic,frequency,phonological,3,plocal_multimodal_USE
USE,,multimodaldelta,rise,fall,alpha,plocal,semantic,frequency,phonological,6,plocal_multimodaldelta_USE
USE,,norms,,,,pglobal,semantic,frequency,phonological,3,pglobal_norms_USE
USE,,simdrop,,,,pglobal,semantic,frequency,phonological,3,pglobal_simdrop_USE
USE,,delta,rise,fall,,pglobal,semantic,frequency,phonological,5,pglobal_delta_USE
USE,,multimodal,,,,pglobal,semantic,frequency,phonological,3,pglobal_multimodal_USE
USE,,multimodaldelta,rise,fall,alpha,pglobal,semantic,frequency,phonological,6,pglobal_multimodaldelta_USE
USE,,norms,,,,pswitch,semantic,frequency,phonological,3,pswitch_norms_USE
USE,,simdrop,,,,pswitch,semantic,frequency,phonological,3,pswitch_simdrop_USE
USE,,delta,rise,fall,,pswitch,semantic,frequency,phonological,5,pswitch_delta_USE
USE,,multimodal,,,,pswitch,semantic,frequency,phonological,3,pswitch_multimodal_USE
USE,,multimodaldelta,rise,fall,alpha,pswitch,semantic,frequency,phonological,6,pswitch_multimodaldelta_USE
