Forager_Word,Found,Original Found,AZ Close Matches
brown bear,TRUE,TRUE,"brown bear, brown hyena, marsican brown bear"
brown bullhead,TRUE,FALSE,"brown bear, brown hyena"
brown creeper,TRUE,FALSE,"brown bear, brown tree snake, treecreeper"
brown hyena,TRUE,TRUE,"brown hyena, brown bear, brown snake"
brown recluse,TRUE,FALSE,brown snake
brown recluse spider,TRUE,FALSE,"chilean recluse spider, mouse spider, woodlouse spider"
brown thrasher,TRUE,FALSE,brown bear
brown trout,TRUE,FALSE,"brook trout, golden trout, bull trout"
bruin,TRUE,FALSE,brug
bryozoan,FALSE,FALSE,No close match found
buck,TRUE,FALSE,duck
bucking bronco,FALSE,FALSE,No close match found
budgerigar,TRUE,TRUE,budgerigar
budgie,TRUE,FALSE,badger
buffalo,TRUE,TRUE,"buffalo, buffalo fish, beefalo"
bufflehead,FALSE,FALSE,No close match found
bufo,TRUE,FALSE,"buffalo, bullfrog"
bug,TRUE,FALSE,"brug, pug"
bulbul,FALSE,FALSE,No close match found
bull,TRUE,FALSE,"bulldog, beabull, quoll"
bull mastiff,TRUE,FALSE,"bullmastiff, mastiff, tibetan mastiff"
bull shark,TRUE,TRUE,"bull shark, blue shark, bullsnake"
bull snake,TRUE,FALSE,"bullsnake, habu snake, bull shark"
bull terrier,TRUE,TRUE,"bull terrier, bull and terrier, russell terrier"
bulldog,TRUE,TRUE,"bulldog, bullfrog, bulldog mix"
bullfinch,TRUE,FALSE,"finch, purple finch, eurasian bullfinch"
bullfrog,TRUE,TRUE,"bullfrog, bulldog, frog"
bullhead,TRUE,FALSE,"bulldog, bull shark"
bullhead catfish,TRUE,FALSE,"yellow bullhead catfish, flathead catfish, blue catfish"
bullmastiff,TRUE,TRUE,"bullmastiff, mastiff"
bullock,TRUE,FALSE,"bulldog, bullfrog"
bullsnake,TRUE,TRUE,"bullsnake, habu snake, bull shark"
bumblebee,TRUE,TRUE,bumblebee
bunny,FALSE,FALSE,No close match found
bunny rabbit,TRUE,FALSE,"rabbit, dutch rabbit"
bunting,TRUE,FALSE,snow bunting
burbot,TRUE,FALSE,barbet
burmese mountain dog,TRUE,FALSE,"bernese mountain dog, bernese mountain dog mix, estrela mountain dog"
burro,FALSE,FALSE,No close match found
bush squirrel,TRUE,FALSE,"squirrel, red squirrel, fox squirrel"
bushbaby,TRUE,FALSE,bush baby
bushbuck,FALSE,FALSE,No close match found
bushmaster,TRUE,FALSE,"bushmaster snake, hamster"
bustard,TRUE,FALSE,kori bustard
butterfish,TRUE,FALSE,"butterfly fish, cuttlefish, bluefish"
butterflies,TRUE,FALSE,"butterfly fish, butterfly, robber flies"
butterfly,TRUE,TRUE,"butterfly, owl butterfly, butterfly fish"
butterflyfish,TRUE,FALSE,"butterfly fish, butterfly, cuttlefish"
buzzard,TRUE,FALSE,"honey buzzard, common buzzard"
cactus wren,TRUE,TRUE,"cactus wren, cactus mouse, house wren"
