Word,Found,Original Found,Close Matches
feline,True,True,"feline, felice, feelin"
felines,True,False,"feline, lines, flies"
ferret,True,True,"ferret, ferreted, fret"
filling smuggler gulch,False,False,No close match found
filly,True,True,"filly, fill, finally"
finch,True,True,"finch, flinch, inch"
firefly,True,True,"firefly, freely, firmly"
fish,True,True,"fish, fishy, ish"
fisher,True,True,"fisher, fishery, fishers"
fishes,True,True,"fishes, fishers, fisher's"
flamingo,True,False,"flaming, framing, foaming"
flatfish,True,False,"flats, flash, lavish"
flea,True,True,"flea, fleas, lea"
flies,True,True,"flies, lies, follies"
flounder,True,True,"flounder, founder, floundered"
fly,True,True,"fly, flay, fully"
flycatcher,True,True,"flycatcher, catcher, fletcher"
foal,True,True,"foal, foals, formal"
foals,True,True,"foals, foal, goals"
fossil,True,True,"fossil, fossils, foil"
fowl,True,True,"fowl, fowls, owl"
fox,True,True,"fox, foxy, ox"
foxes,True,True,"foxes, foes, fox's"
foxhound,True,True,"foxhound, hound, found"
freshwater fish,True,False,foresters
fresian,True,False,"resin, freshman, resign"
frog,True,True,"frog, frogs, fro"
frogs,True,True,"frogs, frog's, frog"
fungi,True,True,"fungi, flung, fun"
fungus,True,True,"fungus, yunus, negus"
gaboon viper,False,False,No close match found
gaited horse,True,False,"gatehouse, gaiters, authorise"
gal,True,True,"gal, goal, gaul"
gamebirds,True,False,"gaumers, games, birds"
gamecock,True,True,"gamecock, peacock, mock"
gander,True,True,"gander, grander, grandeur"
gar,True,True,"gar, gear, garb"
gator,True,False,"astor, actor, agitator"
gazelle,True,True,"gazelle, gabelle, galley"
gecko,True,False,"greco, reckon, beckon"
geese,True,True,"geese, genoese, geeks"
gelding,True,False,"welding, gliding, gilding"
german shepherd,True,False,"shepherd, shepherds"
giant,True,True,"giant, giants, giant's"
giant anteater,False,False,No close match found
giant squid,True,False,"giants, giant's"
giant squids,True,False,"giantess, giants"
gibbon,True,True,"gibbon, gibbons, ribbon"
gila monster,True,False,"monster, monsters, gamester"
giraffe,True,False,"raffle, raffer, gaffer"
giraffes,True,False,"raffles, raffle, raffer"
glaucus,True,True,"glaucus, raucous, glances"
gnat,True,True,"gnat, ignat, gnats"
goat,True,True,"goat, groat, goats"
goats,True,True,"goats, goat's, oats"
goby,True,True,"goby, toby, roby"
golden retriever,True,False,retrieve
goldfinch,True,True,"goldfinch, goldfish, finch"
goldfish,True,True,"goldfish, oldish, goldfinch"
goliath grouper,False,False,No close match found
goose,True,True,"goose, goosey, noose"
gopher,True,True,"gopher, gophers, morpher"
gorilla,True,True,"gorilla, grill, grille"
gorillas,True,False,"gorilla, guerrillas, rills"
grackle,True,False,"crackle, grace, crackled"
grasshopper,True,True,"grasshopper, grasshoppers, rasper"
grasshoppers,True,True,"grasshoppers, grasshopper, grasses"
gray catbird,True,False,graveyard
great blue heron,False,False,No close match found
great horned owl,False,False,No close match found
grenadier,True,True,"grenadier, grenadiers, readier"
grevy zebra,False,False,No close match found
greyhound,True,True,"greyhound, greyhounds, ground"
grizzly,True,True,"grizzly, grizzled, grisly"
grizzly bear,True,False,"grizzlebeard, grizzly, grizzled"
grosbeak,True,True,"grosbeak, grouse, rosabella"
grouper,True,False,"grouped, roper, group"
