Word1,Word2,Value
albatross,hoopoe,0
albatross,horse,0
albatross,horseman,0
albatross,horses,0
albatross,hound,0
albatross,human,0
albatross,huntsman,0
albatross,husky,0
albatross,hydra,1
albatross,hyena,1
albatross,hyenas,1
albatross,ibex,0
albatross,insect,1
albatross,insects,0
albatross,jack,0
albatross,jackal,0
albatross,jackass,0
albatross,jackdaw,1
albatross,jaguar,1
albatross,jay,0
albatross,jellyfish,1
albatross,jockey,0
albatross,kangaroo,0
albatross,kelpie,0
albatross,kiang,1
albatross,kid,0
albatross,killer,1
albatross,kingfisher,1
albatross,kite,0
albatross,kitten,0
albatross,kittens,0
albatross,kitty,0
albatross,lab,0
albatross,labrador,1
albatross,ladybird,0
albatross,ladybug,0
albatross,lamb,0
albatross,lambs,0
albatross,lark,0
albatross,larva,1
albatross,larvae,1
albatross,leech,0
albatross,lemming,1
albatross,leopard,1
albatross,leopards,1
albatross,lice,0
albatross,linnet,0
albatross,lion,1
albatross,lioness,0
albatross,lions,0
albatross,lizard,0
albatross,lizards,1
albatross,llama,1
albatross,loach,0
albatross,lobster,1
albatross,lobsters,1
albatross,locust,1
albatross,loon,1
albatross,louse,0
albatross,lynx,1
albatross,mackerel,1
albatross,maggot,1
albatross,magpie,0
albatross,maltese,1
albatross,mammoth,1
albatross,man,0
albatross,mare,0
albatross,mares,1
albatross,marmot,0
albatross,marten,1
albatross,mastiff,1
albatross,mastodon,1
albatross,medusa,1
albatross,merlin,0
albatross,mice,0
albatross,microbe,1
albatross,midge,1
albatross,mink,1
albatross,minnow,1
albatross,minx,0
albatross,mite,0
albatross,mites,1
albatross,moccasin,1
albatross,mole,0
albatross,mollusk,1
albatross,molly,0
albatross,mongoose,1
albatross,mongrel,1
albatross,monitor,0
albatross,monkey,0
albatross,monkeys,0
albatross,monster,1
albatross,moose,1
albatross,moray,0
albatross,mosquito,1
albatross,moth,1
albatross,moths,1
albatross,mouse,0
albatross,mule,0
albatross,mules,0
albatross,mullet,0
albatross,muskrat,0
albatross,mussel,1
albatross,mussels,1
albatross,mustang,1
albatross,narwhale,1
albatross,nautilus,1
albatross,newfoundland,1
albatross,newt,1
albatross,nightingale,0
albatross,nuthatch,0
albatross,orang,0
albatross,oriole,1
albatross,oscar,1
albatross,ostrich,1
albatross,ostriches,1
albatross,otter,1
albatross,owl,1
albatross,owls,0
albatross,ox,0
albatross,oxen,0
albatross,oyster,1
albatross,oysters,1
albatross,panther,0
albatross,papillon,0
albatross,parakeet,1
albatross,parrot,0
albatross,partridge,1
albatross,peacock,1
albatross,pegasus,1
albatross,pelican,0
albatross,penguin,1
albatross,perch,0
albatross,peregrine,1
albatross,persian,0
albatross,person,0
albatross,pest,0
albatross,pests,0
albatross,pet,0
albatross,pets,0
albatross,pewee,0
albatross,pheasant,1
albatross,phoenix,0
albatross,pig,0
albatross,pigeon,1
albatross,piggy,0
albatross,pigs,0
albatross,pike,1
albatross,plover,1
albatross,pointer,1
albatross,polar,1
albatross,pollock,0
albatross,ponies,0
albatross,pony,0
albatross,poodle,1
albatross,porcupine,1
albatross,pork,1
albatross,porpoise,1
albatross,possum,0
albatross,poultry,0
albatross,primate,1
albatross,ptarmigan,1
albatross,puffin,0
albatross,pug,0
albatross,pullet,0
albatross,puma,1
albatross,pup,0
albatross,puppies,0
albatross,puppy,0
albatross,puss,0
albatross,quail,1
albatross,rabbit,0
albatross,ragamuffin,0
albatross,ram,0
albatross,rat,0
albatross,rattler,0
albatross,rattlesnake,0
albatross,raven,1
albatross,ray,0
albatross,redbird,0
albatross,redbreast,1
albatross,redtail,0
albatross,reindeer,1
albatross,reptile,1
albatross,reptiles,1
albatross,rhinoceros,1
albatross,roach,1
albatross,robin,0
albatross,rodents,0
albatross,roe,1
albatross,rook,0
albatross,rooster,0
albatross,sable,1
albatross,salamander,1
albatross,salmon,1
albatross,sardine,1
albatross,sardines,1
albatross,scorpion,1
albatross,scorpions,1
albatross,seal,0
albatross,serpent,1
albatross,shad,0
albatross,shark,1
albatross,sharks,1
albatross,sheep,0
albatross,shellfish,1
albatross,shepherd,0
albatross,shrew,0
albatross,shrimp,1
albatross,siamese,1
albatross,siberian,1
