Fluency_Item,Speech2vec_Pairwise_Cosine_Similarity,Word2vec_Pairwise_Cosine_Similarity,Phonological_Scratch,Frequency_Value,Previous_Word_Frequency,Composite_Frequency,ID
strawberries,NA,NA,NA,5.930610323,,,CCB-720
blueberries,NA,NA,0.1,5.385221851,5.930610323,31.9376523,CCB-720
bananas,NA,NA,NA,,5.385221851,,CCB-720
grapes,0.694426532,0.582287005,NA,6.320292966,,,CCB-720
kiwi,NA,NA,0,5.053481804,6.320292966,31.9394855,CCB-720
zucchinibread,NA,NA,NA,3.747722462,5.053481804,18.93904727,CCB-720
bananabread,NA,NA,NA,4.263636069,3.747722462,15.97892467,CCB-720
smoothies,NA,NA,NA,,4.263636069,,CCB-720
burgers,2,2,NA,,,,CCD-722
fries,NA,NA,NA,5.818344021,,,CCD-722
ketchup,NA,NA,0,5.302556028,5.818344021,30.85209516,CCD-722
mustard,0.768348811,0.659463576,0,6.213677102,5.302556028,32.94837097,CCD-722
lettuce,0.749005267,0.681944358,0.0909,6.061022496,6.213677102,37.6612367,CCD-722
onions,0.869819757,0.823723632,0,6.284040709,6.061022496,38.0877121,CCD-722
pickles,0.820717204,0.751958847,NA,,6.284040709,,CCD-722
tomatoes,0.780449924,0.778142286,NA,,,,CCD-722
mayo,NA,NA,NA,,,,CCD-722
buns,NA,NA,NA,,,,CCD-722
beer,0.620870084,0.553176674,NA,6.821224754,,,CCD-722
wine,0.698334225,0.746907829,0.125,7.193772466,6.821224754,49.07033882,CCD-722
bread,0.512511591,0.557998492,0.25,7.118235849,7.193772466,51.20696906,CCD-722
cheese,0.591976532,0.669215395,0,6.784949697,7.118235849,48.29687217,CCD-722
ham,0.589973615,0.597538004,0,6.443616226,6.784949697,43.71961196,CCD-722
turkey,0.452910669,0.412502017,0,6.767768346,6.443616226,43.60890193,CCD-722
steak,0.388039119,0.404332448,0.1111,6.120825552,6.767768346,41.42432942,CCD-722
lobster,0.769093604,0.679481785,0,5.989108389,6.120825552,36.65828766,CCD-722
crab,0.677974283,0.634235257,0.125,6.158116322,5.989108389,36.88162612,CCD-722
shrimp,0.620966174,0.529629732,0.125,6.17749985,6.158116322,38.04176266,CCD-722
biscuits,0.639970632,0.525655711,NA,,6.17749985,,CCD-722
graxy,NA,NA,NA,,,,CCD-722
mashedpotatoes,NA,NA,NA,5.374530228,,,CCD-722
macandcheese,NA,NA,0.1667,3.799753966,5.374530228,20.42189255,CCD-722
pasta,NA,NA,0.0833,6.077172338,3.799753966,23.09175969,CCD-722
pesto,NA,NA,0.2222,5.136894884,6.077172338,31.21779549,CCD-722
greenpeppers,NA,NA,0.1,4.952608422,5.136894884,25.44102887,CCD-722
cucumbers,NA,NA,NA,,4.952608422,,CCD-722
redpeppers,NA,NA,NA,4.893345572,,,CCD-722
sausage,NA,NA,0.0909,6.006213094,4.893345572,29.39047625,CCD-722
beef,0.73722902,0.717218084,0,6.662562355,6.006213094,40.01676926,CCD-722
ham,0.717212924,0.671578795,0,6.443616226,6.662562355,42.9309949,CCD-722
mushrooms,0.677399433,0.594600076,0,6.169881248,6.443616226,39.75634692,CCD-722
onions,0.820737384,0.825769044,0,6.284040709,6.169881248,38.77178493,CCD-722
pepperoni,NA,NA,0.1667,4.833758902,6.284040709,30.37553772,CCD-722
bananapeppers,NA,NA,NA,,4.833758902,,CCD-722
blackolives,NA,NA,NA,4.772776304,,,CCD-722
pastasauce,NA,NA,NA,,4.772776304,,CCD-722
potatochips,NA,NA,NA,5.226166683,,,CCD-722
ricecakes,NA,NA,NA,,5.226166683,,CCD-722
cereal,NA,NA,NA,6.103664177,,,CCD-722
cheerios,NA,NA,NA,,6.103664177,,CCD-722
water,NA,NA,NA,8.128616304,,,CCD-722
sprite,0.36637692,0.303277221,NA,,8.128616304,,CCD-722
sweettea,2,2,NA,,,,CCF-724
macaroni,NA,NA,NA,5.581387521,,,CCF-724
pizza,NA,NA,0,6.127115818,5.581387521,34.19780777,CCF-724
water,NA,NA,0.0833,8.128616304,6.127115818,49.80497353,CCF-724
chicken,0.414284643,0.340908931,0,6.827585591,8.128616304,55.49882355,CCF-724
sprite,0.332972025,0.414537941,NA,,6.827585591,,CCF-724
sweettea,NA,NA,NA,,,,CCF-724
ribs,NA,NA,NA,6.426640717,,,CCF-724
lemonade,0.408033817,0.390933958,0.25,5.675389685,6.426640717,36.47369043,CCF-724
broccoli,NA,NA,0,5.735691497,5.675389685,32.55228436,CCF-724
cheese,NA,NA,0,6.784949697,5.735691497,38.91637828,CCF-724
drpepper,NA,NA,NA,,6.784949697,,CCF-724
sunkist,NA,NA,NA,,,,CCF-724
rootbeer,NA,NA,NA,,,,CCF-724
milk,NA,NA,NA,7.233255898,,,CCF-724
applejuice,NA,NA,NA,,7.233255898,,CCF-724
orangejuice,NA,NA,NA,5.787305291,,,CCF-724
coffee,2,2,0.0001,7.112627989,,,CCH-726
milk,0.4946309,0.594835948,0,7.233255898,7.112627989,51.44745835,CCH-726
apple,0.403948241,0.404636481,0,6.797844554,7.233255898,49.17054921,CCH-726
pie,0.620959021,0.61525143,0.125,6.528529646,6.797844554,44.3799297,CCH-726
cake,0.700534556,0.732112723,0,6.647085024,6.528529646,43.39569164,CCH-726
banana,0.590226012,0.594788001,0,6.151067854,6.647085024,40.88667101,CCH-726
water,0.491420191,0.359432077,0,8.128616304,6.151067854,49.99967045,CCH-726
kiwi,NA,NA,0.1,5.053481804,8.128616304,41.07781458,CCH-726
chocolate,NA,NA,0,6.569376251,5.053481804,33.19822335,CCH-726
crackers,0.694851765,0.701804791,0,5.880921581,6.569376251,38.63398657,CCH-726
onions,0.827857366,0.699838353,0.1111,6.284040709,5.880921581,36.95595062,CCH-726
garlic,0.844354785,0.776054759,0.2,6.413673365,6.284040709,40.30378452,CCH-726
pretzels,NA,NA,0.1,5.041183384,6.413673365,32.3325036,CCH-726
strawberries,NA,NA,0.1,5.930610323,5.041183384,29.89729422,CCH-726
fruitjuice,NA,NA,NA,,5.930610323,,CCH-726
cheese,NA,NA,NA,6.784949697,,,CCH-726
pancakes,0.559657899,0.665373973,0,5.671386696,6.784949697,38.48007344,CCH-726
waffles,NA,NA,0.1429,5.166240605,5.671386696,29.29974824,CCH-726
bacon,NA,NA,0.1429,6.679321309,5.166240605,34.50698096,CCH-726
eggs,0.421534617,0.493982225,0.2222,6.99743418,6.679321309,46.73811123,CCH-726
beef,0.569584241,0.584584427,0.1111,6.662562355,6.99743418,46.62084155,CCH-726
pig,0.510965497,0.516500176,NA,,6.662562355,,CCH-726
spaghetti,NA,NA,NA,5.757392232,,,CCH-726
soda,2,2,0.0001,6.491606791,,,CCX-744
grapes,0.460972331,0.482514785,0,6.320292966,6.491606791,41.02885674,CCX-744
fish,0.460477754,0.455345885,0.1,7.344814258,6.320292966,46.42137789,CCX-744
chicken,0.569463034,0.482725227,0.2,6.827585591,7.344814258,50.147348,CCX-744
broccoli,NA,NA,0.2857,5.735691497,6.827585591,39.16092462,CCX-744
pears,NA,NA,NA,,5.735691497,,CCX-744
apples,0.655803075,0.623436711,NA,,,,CCX-744
bananas,0.695474227,0.643945363,NA,,,,CCX-744
mangoes,NA,NA,NA,,,,CCX-744
mashedpotatoes,NA,NA,NA,5.374530228,,,CCX-744
sweetpotatoes,NA,NA,0,5.589320591,5.374530228,30.03997247,CCX-744
turkey,NA,NA,0.1429,6.767768346,5.589320591,37.82722697,CCX-744
dressing,0.216757187,0.263678096,0.125,6.676849196,6.767768346,45.18736864,CCX-744
ham,0.432006982,0.324983463,0,6.443616226,6.676849196,43.02305382,CCX-744
frenchfries,NA,NA,0,5.216754243,6.443616226,33.61476229,CCX-744
pizza,NA,NA,0.0833,6.127115818,5.216754243,31.96365744,CCX-744
salad,NA,NA,0.25,6.493777206,6.127115818,39.78812504,CCX-744
icecream,NA,NA,0.0833,6.274085076,6.493777206,40.74251066,CCX-744
yogurt,NA,NA,NA,5.868381667,6.274085076,36.81872584,CCX-744
candy,NA,NA,NA,6.420693917,5.868381667,37.67908247,CCX-744
lemons,0.649049568,0.634863803,NA,,6.420693917,,CCX-744
oranges,0.811042696,0.770036419,NA,,,,CCX-744
peanuts,2,2,0.0001,5.86680936,,,CDG-753
cashews,NA,NA,0.2,4.819122597,5.86680936,28.27287356,CDG-753
bread,NA,NA,0,7.118235849,4.819122597,34.30365123,CDG-753
bark,0.282335829,0.333231857,NA,,7.118235849,,CDG-753
soda,0.341862189,0.252213692,NA,6.491606791,,,CDG-753
rootbeer,NA,NA,NA,,6.491606791,,CDG-753
drpepper,NA,NA,NA,,,,CDG-753
water,NA,NA,NA,8.128616304,,,CDG-753
jello,NA,NA,0,4.757623746,8.128616304,38.67289795,CDG-753
brownies,NA,NA,NA,,4.757623746,,CDG-753
cookies,0.585942723,0.532287336,NA,,,,CDG-753
chocolate,0.687911363,0.682178903,NA,6.569376251,,,CDG-753
milk,0.558969514,0.656821962,0.3333,7.233255898,6.569376251,47.51797951,CDG-753
orangejuice,NA,NA,0,5.787305291,7.233255898,41.86106013,CDG-753
limejuice,NA,NA,NA,,5.787305291,,CDG-753
lemonade,NA,NA,NA,5.675389685,,,CDG-753
noodles,0.777207847,0.657405453,0.125,5.753362409,5.675389685,32.65257367,CDG-753
macandcheese,NA,NA,0.1667,3.799753966,5.753362409,21.86136163,CDG-753
pasta,NA,NA,0.0833,6.077172338,3.799753966,23.09175969,CDG-753
spaghetti,NA,NA,0,5.757392232,6.077172338,34.98866481,CDG-753
tomatoes,NA,NA,NA,,5.757392232,,CDG-753
peppers,0.905356822,0.833312587,NA,5.955714682,,,CDG-753
celery,0.916433798,0.705248053,0,6.039629032,5.955714682,35.9703073,CDG-753
peanutbutter,NA,NA,0,5.676114469,6.039629032,34.28162574,CDG-753
jelly,NA,NA,0.1,6.145127075,5.676114469,34.8804447,CDG-753
plums,0.595515974,0.535798708,NA,,6.145127075,,CDG-753
mangoes,NA,NA,NA,,,,CDG-753
guava,NA,NA,NA,5.005420767,,,CDG-753
plums,NA,NA,NA,,5.005420767,,CDG-753
grapefruit,NA,NA,NA,5.622690553,,,CDG-753
starfruit,NA,NA,0.25,3.473778835,5.622690553,19.53198344,CDG-753
limes,NA,NA,NA,,3.473778835,,CDG-753
lemons,0.582448105,0.561192363,NA,,,,CDG-753
cocacola,2,2,NA,,,,CDH-754
cherrycocacola,NA,NA,NA,,,,CDH-754
fantaorange,NA,NA,NA,,,,CDH-754
fantastrawberry,NA,NA,NA,,,,CDH-754
fantapineapple,NA,NA,NA,,,,CDH-754
fantagrape,NA,NA,NA,,,,CDH-754
friedrice,NA,NA,NA,4.643235475,,,CDH-754
sreamedrice,NA,NA,NA,,4.643235475,,CDH-754
chicken,NA,NA,NA,6.827585591,,,CDH-754
turkey,0.467591972,0.487332534,0,6.767768346,6.827585591,46.20751764,CDH-754
danimalscrunchers,NA,NA,NA,,6.767768346,,CDH-754
yogurt,NA,NA,NA,5.868381667,,,CDH-754
danimalssmoothies,NA,NA,NA,,5.868381667,,CDH-754
sprite,NA,NA,NA,,,,CDH-754
spritezero,NA,NA,NA,,,,CDH-754
soda,2,2,0.0001,6.491606791,,,CDM-759
macaroniandcheese,NA,NA,0.1111,4.774633735,6.491606791,30.99504478,CDM-759
spaghetti,NA,NA,0.1111,5.757392232,4.774633735,27.48943918,CDM-759
icecream,NA,NA,0.0833,6.274085076,5.757392232,36.12236868,CDM-759
cake,NA,NA,0,6.647085024,6.274085076,41.70437695,CDM-759
pizza,NA,NA,0.0833,6.127115818,6.647085024,40.72745979,CDM-759
maggianosalads,NA,NA,NA,,6.127115818,,CDM-759
rolls,NA,NA,NA,,,,CDM-759
hotdogs,NA,NA,NA,,,,CDM-759
cranberries,NA,NA,NA,5.300053908,,,CDM-759
raspberries,0.858069823,0.944469708,0.0909,5.497827736,5.300053908,29.13878338,CDM-759
watermelon,0.468758922,0.566195362,0,5.539659369,5.497827736,30.45609293,CDM-759
strawberries,0.507379293,0.554780472,0.1,5.930610323,5.539659369,32.85356104,CDM-759
cantaloupe,NA,NA,0.1,5.081804409,5.930610323,30.13820169,CDM-759
peaches,NA,NA,NA,,5.081804409,,CDM-759
water,0.429796657,0.50146183,NA,8.128616304,,,CDM-759
juice,0.572773499,0.571992629,0.1,6.760199926,8.128616304,54.95107134,CDM-759
applecider,NA,NA,NA,,6.760199926,,CDM-759
wine,NA,NA,NA,7.193772466,,,CDM-759
coconutcreampie,NA,NA,NA,,7.193772466,,CDM-759
chocolatepie,NA,NA,NA,3.916769684,,,CDM-759
applepie,NA,NA,0.3333,5.282998022,3.916769684,20.69228649,CDM-759
coconutpie,NA,NA,NA,,5.282998022,,CDM-759
pumpkinpie,NA,NA,NA,4.769517637,,,CDM-759
chocolateicecream,NA,NA,NA,,4.769517637,,CDM-759
vanillaicecream,NA,NA,NA,,,,CDM-759
redvelvetcake,NA,NA,NA,,,,CDM-759
chocolateballs,NA,NA,NA,,,,CDM-759
ravioli,NA,NA,NA,5.038826731,,,CDM-759
breadsticks,NA,NA,0.1111,4.184208613,5.038826731,21.08350221,CDM-759
cheesesause,NA,NA,NA,,4.184208613,,CDM-759
salsa,NA,NA,NA,5.596000768,,,CDM-759
chips,NA,NA,0,6.388607524,5.596000768,35.75065261,CDM-759
doritos,NA,NA,0,4.171755698,6.388607524,26.65170984,CDM-759
coolranchdoritos,NA,NA,NA,,4.171755698,,CDM-759
chicken,2,2,0.0001,6.827585591,,,CDR-764
chicken,1,1,1,6.827585591,6.827585591,46.615925,CDR-764
ketchup,0.700813678,0.652415257,0.1429,5.302556028,6.827585591,36.20365513,CDR-764
popcorn,NA,NA,0,5.70964726,5.302556028,30.2757245,CDR-764
pizza,NA,NA,0.1667,6.127115818,5.70964726,34.98367004,CDR-764
orangejuice,NA,NA,0,5.787305291,6.127115818,35.45948979,CDR-764
applejuice,NA,NA,NA,,5.787305291,,CDR-764
grapejuice,NA,NA,NA,,,,CDR-764
steak,NA,NA,NA,6.120825552,,,CDR-764
shrimp,0.769834229,0.675181908,0.1111,6.17749985,6.120825552,37.81139893,CDR-764
ribs,0.540462569,0.545987555,0,6.426640717,6.17749985,39.70057207,CDR-764
cookies,0.328102289,0.415453706,NA,,6.426640717,,CDR-764
icecream,NA,NA,NA,6.274085076,,,CDR-764
cake,NA,NA,0,6.647085024,6.274085076,41.70437695,CDR-764
smoothie,NA,NA,0,4.812023813,6.647085024,31.98593142,CDR-764
milkshake,NA,NA,0,4.603955885,4.812023813,22.15434535,CDR-764
slushie,NA,NA,NA,,4.603955885,,CDR-764
icecream,NA,NA,NA,6.274085076,,,CDR-764
water,NA,NA,0.0833,8.128616304,6.274085076,50.99963024,CDR-764
koolaid,NA,NA,NA,,8.128616304,,CDR-764
cherry,NA,NA,NA,6.435047003,,,CDR-764
apple,0.576658432,0.691000392,0,6.797844554,6.435047003,43.74444922,CDR-764
strawberry,0.675595844,0.641826021,0,6.044711798,6.797844554,41.09101118,CDR-764
banana,0.601938549,0.585962072,0,6.151067854,6.044711798,37.18143243,CDR-764
tangerine,NA,NA,0,5.05288239,6.151067854,31.08062244,CDR-764
mango,NA,NA,0,5.658147868,5.05288239,28.58995572,CDR-764
blueberries,NA,NA,0.0909,5.385221851,5.658147868,30.47038153,CDR-764
milk,NA,NA,0,7.233255898,5.385221851,38.95268772,CDR-764
applesauce,NA,NA,0,5.17145146,7.233255898,37.40643177,CDR-764
pop,NA,NA,NA,,5.17145146,,CDR-764
cocacola,NA,NA,NA,,,,CDR-764
fanta,NA,NA,NA,,,,CDR-764
sprite,2,2,NA,,,,CDU-767
pepsi,NA,NA,NA,,,,CDU-767
lemonade,NA,NA,NA,5.675389685,,,CDU-767
coke,0.372456452,0.39548026,NA,,5.675389685,,CDU-767
orangejuice,NA,NA,NA,5.787305291,,,CDU-767
applejuice,NA,NA,NA,,5.787305291,,CDU-767
cranberryjuice,NA,NA,NA,,,,CDU-767
spaghetti,NA,NA,NA,5.757392232,,,CDU-767
chicken,NA,NA,0,6.827585591,5.757392232,39.30908824,CDU-767
macaroni,0.689668749,0.627698886,0,5.581387521,6.827585591,38.10740102,CDU-767
greens,0.66619498,0.476288648,0,6.155918755,5.581387521,34.35856812,CDU-767
fish,0.506087719,0.495287435,0,7.344814258,6.155918755,45.21407984,CDU-767
pop,0.339753394,0.299921825,NA,,7.344814258,,CDU-767
water,0.321267091,0.243861252,NA,8.128616304,,,CDU-767
gatorade,NA,NA,NA,,8.128616304,,CDU-767
powerade,NA,NA,NA,,,,CDU-767
jambalaya,NA,NA,NA,4.505624728,,,CDU-767
meats,NA,NA,NA,,4.505624728,,CDU-767
sausages,0.541077263,0.671205641,NA,,,,CDU-767
bacon,0.611673257,0.670570551,NA,6.679321309,,,CDU-767
eggs,0.421534617,0.493982225,0.2222,6.99743418,6.679321309,46.73811123,CDU-767
biscuits,0.657985325,0.645985907,NA,,6.99743418,,CDU-767
bagels,NA,NA,NA,,,,CDU-767
bananas,NA,NA,NA,,,,CDU-767
cereal,NA,NA,NA,6.103664177,,,CDU-767
ricekrispietreats,NA,NA,NA,,6.103664177,,CDU-767
fruitsnacks,NA,NA,NA,3.413467413,,,CDU-767
cheesenips,NA,NA,NA,,3.413467413,,CDU-767
macaroniandcheese,2,2,0.0001,4.774633735,,,SGO-159
popcorn,NA,NA,0,5.70964726,4.774633735,27.26147442,SGO-159
pizza,NA,NA,0.1667,6.127115818,5.70964726,34.98367004,SGO-159
pasta,NA,NA,0.0833,6.077172338,6.127115818,37.23553876,SGO-159
grape,NA,NA,0.2222,6.249929558,6.077172338,37.98189902,SGO-159
cheese,0.430660769,0.478108965,0.1429,6.784949697,6.249929558,42.40545766,SGO-159
meat,0.556272054,0.633504672,0,7.080839758,6.784949697,48.04314157,SGO-159
pepsi,NA,NA,NA,,7.080839758,,SGO-159
coke,NA,NA,NA,,,,SGO-159
mountaindew,NA,NA,NA,,,,SGO-159
dietcoke,NA,NA,NA,,,,SGO-159
drpepper,NA,NA,NA,,,,SGO-159
rootbeer,NA,NA,NA,,,,SGO-159
orange,NA,NA,NA,6.979244809,,,SGO-159
sierramist,NA,NA,NA,,6.979244809,,SGO-159
sprite,NA,NA,NA,,,,SGO-159
grape,0.407313924,0.460546055,NA,6.249929558,,,SGO-159
cherry,0.522527961,0.613446802,0,6.435047003,6.249929558,40.21859047,SGO-159
vanillacoke,NA,NA,NA,,6.435047003,,SGO-159
icecream,NA,NA,NA,6.274085076,,,SGO-159
corndog,NA,NA,0.2353,3.009875634,6.274085076,18.8842158,SGO-159
pizzarolls,NA,NA,NA,,3.009875634,,SGO-159
chips,NA,NA,NA,6.388607524,,,SGO-159
cookies,0.546986426,0.560838091,NA,,6.388607524,,SGO-159
grahamcrackers,NA,NA,NA,4.582699559,,,SGO-159
seacrackers,NA,NA,NA,,4.582699559,,SGO-159
granolabars,NA,NA,NA,,,,SGO-159
corn,NA,NA,NA,7.059617749,,,SGO-159
broccoli,NA,NA,0.2727,5.735691497,7.059617749,40.4917895,SGO-159
langus,NA,NA,NA,,5.735691497,,SGO-159
apple,NA,NA,NA,6.797844554,,,SGO-159
pineapple,0.55062902,0.821352079,0.25,5.909011751,6.797844554,40.16854335,SGO-159
strawberries,0.651735331,0.689446644,0.1,5.930610323,5.909011751,35.04404609,SGO-159
ham,0.580971548,0.525203054,0,6.443616226,5.930610323,38.21457691,SGO-159
chicken,0.699188268,0.639294255,0,6.827585591,6.443616226,43.9943413,SGO-159
pork,0.721658701,0.706984849,0,6.422526808,6.827585591,43.85035149,SGO-159
pizza,2,2,0.0001,6.127115818,,,SKE-234
water,NA,NA,0.0833,8.128616304,6.127115818,49.80497353,SKE-234
soda,0.60923051,0.620512273,0.1,6.491606791,8.128616304,52.7677808,SKE-234
cereal,NA,NA,0.1429,6.103664177,6.491606791,39.62258782,SKE-234
milk,NA,NA,0.1667,7.233255898,6.103664177,44.14936491,SKE-234
orangejuice,NA,NA,0,5.787305291,7.233255898,41.86106013,SKE-234
applejuice,NA,NA,NA,,5.787305291,,SKE-234
apples,NA,NA,NA,,,,SKE-234
fruit,0.722011367,0.716682214,NA,7.197499387,,,SKE-234
grapes,0.657430058,0.678959587,0.2222,6.320292966,7.197499387,45.49030475,SKE-234
pasta,NA,NA,0.1111,6.077172338,6.320292966,38.40950958,SKE-234
ravioli,NA,NA,0,5.038826731,6.077172338,30.62181843,SKE-234
coffee,NA,NA,0.4444,7.112627989,5.038826731,35.83930004,SKE-234
gingerale,NA,NA,NA,,7.112627989,,SKE-234
spaghetti,NA,NA,NA,5.757392232,,,SKE-234
breadsticks,NA,NA,0,4.184208613,5.757392232,24.09013017,SKE-234
buffalowings,NA,NA,0.2,3.896636431,4.184208613,16.30433972,SKE-234
hamburger,2,2,0.0001,5.787621977,,,SMK-401
hotdog,NA,NA,0,4.377634034,5.787621977,25.33609094,SMK-401
chips,NA,NA,0.25,6.388607524,4.377634034,27.96698573,SMK-401
skittles,NA,NA,NA,,6.388607524,,SMK-401
hershey,NA,NA,NA,,,,SMK-401
hotdogs,NA,NA,NA,,,,SMK-401
sausage,NA,NA,NA,6.006213094,,,SMK-401
milk,0.511490053,0.544293535,0.2727,7.233255898,6.006213094,43.44447629,SMK-401
coke,0.327910558,0.374400305,NA,,7.233255898,,SMK-401
dietcoke,NA,NA,NA,,,,SMK-401
sprite,NA,NA,NA,,,,SMK-401
sunkist,NA,NA,NA,,,,SMK-401
frenchfries,NA,NA,NA,5.216754243,,,SMK-401
tatertots,NA,NA,0.2222,3.587486465,5.216754243,18.71503524,SMK-401
mashedpotatoes,NA,NA,0.1667,5.374530228,3.587486465,19.28105445,SMK-401
corn,NA,NA,0,7.059617749,5.374530228,37.94212899,SMK-401
peas,0.592567612,0.698129904,0.0909,6.246395411,7.059617749,44.09716391,SMK-401
grapes,0.686883723,0.646694084,0.1111,6.320292966,6.246395411,39.47904898,SMK-401
apple,0.479257415,0.516324203,0.1111,6.797844554,6.320292966,42.96436912,SMK-401
bananas,0.555219014,0.59137583,NA,,6.797844554,,SMK-401
guacamole,NA,NA,NA,4.81847663,,,SMK-401
cheese,NA,NA,0,6.784949697,4.81847663,32.69312155,SMK-401
pepperjackcheese,NA,NA,NA,,6.784949697,,SMK-401
bread,NA,NA,NA,7.118235849,,,SMK-401
pringles,NA,NA,0,4.13522809,7.118235849,29.43552883,SMK-401
quakerbars,NA,NA,NA,,4.13522809,,SMK-401
granolabars,NA,NA,NA,,,,SMK-401
popsicles,NA,NA,NA,,,,SMK-401
frozenpizzas,NA,NA,NA,,,,SMK-401
pepperonipizza,NA,NA,NA,,,,SMK-401
cheesepizza,NA,NA,NA,,,,SMK-401
sausagepizza,NA,NA,NA,,,,SMK-401
breadsticks,NA,NA,NA,4.184208613,,,SMK-401
spaghetti,NA,NA,0,5.757392232,4.184208613,24.09013017,SMK-401
lasagna,NA,NA,0,5.158335348,5.757392232,29.69855986,SMK-401
soda,2,2,0.0001,6.491606791,,,SNI-300
water,0.60923051,0.620512273,0.1,8.128616304,6.491606791,52.7677808,SNI-300
chicken,0.414284643,0.340908931,0,6.827585591,8.128616304,55.49882355,SNI-300
burger,0.143664648,0.323207201,0,5.970327346,6.827585591,40.76292096,SNI-300
rice,0.020246468,0.288858346,0,6.983482536,5.970327346,41.69367675,SNI-300
spaghetti,NA,NA,0,5.757392232,6.983482536,40.20664811,SNI-300
macaroniandcheese,NA,NA,0.1111,4.774633735,5.757392232,27.48943918,SNI-300
steak,NA,NA,0,6.120825552,4.774633735,29.22470017,SNI-300
barbecue,NA,NA,0.1111,5.774749014,6.120825552,35.34623132,SNI-300
chinese,NA,NA,0,7.380743144,5.774749014,42.62193919,SNI-300
rice,0.35510334,0.453701401,0.1,6.983482536,7.380743144,51.54329085,SNI-300
pizza,NA,NA,0.0833,6.127115818,6.983482536,42.78860631,SNI-300
juice,NA,NA,0.1667,6.760199926,6.127115818,41.4205279,SNI-300
orange,0.437752241,0.502435144,0,6.979244809,6.760199926,47.18109024,SNI-300
lemon,0.485241873,0.595348805,0,6.535672412,6.979244809,45.61405775,SNI-300
apple,0.497893897,0.568767457,0,6.797844554,6.535672412,44.42848511,SNI-300
pear,0.591337904,0.625377362,0,6.100306775,6.797844554,41.46893719,SNI-300
lemon,0.561432491,0.5511947,0,6.535672412,6.100306775,39.86960669,SNI-300
pizza,2,2,0.0001,6.127115818,,,SNR-308
pizza,NA,NA,1,6.127115818,6.127115818,37.54154825,SNR-308
chips,NA,NA,0.0833,6.388607524,6.127115818,39.14373822,SNR-308
candies,0.665529053,0.543521937,NA,,6.388607524,,SNR-308
pop,0.509861038,0.279945294,NA,,,,SNR-308
dietcoke,NA,NA,NA,,,,SNR-308
lemonade,NA,NA,NA,5.675389685,,,SNR-308
pies,0.726251393,0.580274905,NA,,5.675389685,,SNR-308
cereal,NA,NA,NA,6.103664177,,,SNR-308
cakes,NA,NA,NA,,6.103664177,,SNR-308
brownies,0.363064001,0.512482519,NA,,,,SNR-308
sandwich,0.445019413,0.435675626,NA,6.319168335,,,SNR-308
peanutbutter,NA,NA,0.1,5.676114469,6.319168335,35.86832282,SNR-308
tunafish,NA,NA,NA,,5.676114469,,SNR-308
fish,NA,NA,NA,7.344814258,,,SNR-308
chicken,0.569463034,0.482725227,0.2,6.827585591,7.344814258,50.147348,SNR-308
soda,2,2,0.0001,6.491606791,,,SNT-310
corn,0.489012064,0.486798073,0,7.059617749,6.491606791,45.82826252,SNT-310
potatoes,0.609718048,0.68589006,0.1818,6.651055575,7.059617749,46.95390999,SNT-310
tomato,0.781403311,0.763999145,0,6.328685541,6.651055575,42.09243925,SNT-310
steak,0.871160921,0.725171876,0.1111,6.120825552,6.328685541,38.73678017,SNT-310
apple,0.487429535,0.521254822,0.1111,6.797844554,6.120825552,41.60842064,SNT-310
oranges,0.594204335,0.612843266,NA,,6.797844554,,SNT-310
banana,0.690335014,0.624532247,NA,6.151067854,,,SNT-310
kiwi,NA,NA,0,5.053481804,6.151067854,31.08430948,SNT-310
plums,NA,NA,NA,,5.053481804,,SNT-310
water,0.410227184,0.23005762,NA,8.128616304,,,SNT-310
bread,0.414483712,0.439636949,0.4,7.118235849,8.128616304,57.86140798,SNT-310
turkey,0.324438297,0.384019162,0,6.767768346,7.118235849,48.17457126,SNT-310
mayo,NA,NA,NA,,6.767768346,,SNT-310
mustard,NA,NA,NA,6.213677102,,,SNT-310
lettuce,0.749005267,0.681944358,0.0909,6.061022496,6.213677102,37.6612367,SNT-310
carrots,0.882994308,0.771862688,0,6.047191506,6.061022496,36.65216376,SNT-310
radishes,0.837939984,0.714019267,NA,,6.047191506,,SNT-310
beets,0.907307881,0.674844544,NA,5.809662048,,,SNT-310
cauliflower,0.887804235,0.624913843,0,5.61004341,5.809662048,32.59245629,SNT-310
broccoli,NA,NA,0.25,5.735691497,5.61004341,32.17747828,SNT-310
sweetpotatoes,NA,NA,0.1429,5.589320591,5.735691497,32.05861859,SNT-310
beans,NA,NA,0.1429,6.627013054,5.589320591,37.04050052,SNT-310
hotdog,2,2,0.0001,4.377634034,,,SNV-312
hamburger,NA,NA,0,5.787621977,4.377634034,25.33609094,SNV-312
burrito,NA,NA,0.125,4.824145367,5.787621977,27.92032975,SNV-312
chicken,NA,NA,0,6.827585591,4.824145367,32.9372654,SNV-312
rice,0.627518427,0.632607622,0.1,6.983482536,6.827585591,47.68032474,SNV-312
corn,0.580245406,0.642062242,0.0909,7.059617749,6.983482536,49.30071726,SNV-312
celery,0.542822258,0.561461114,0,6.039629032,7.059617749,42.63747231,SNV-312
peanutbutter,NA,NA,0,5.676114469,6.039629032,34.28162574,SNV-312
water,NA,NA,0,8.128616304,5.676114469,46.13895662,SNV-312
2%milk,NA,NA,NA,,8.128616304,,SNV-312
orangejuice,NA,NA,NA,5.787305291,,,SNV-312
